symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
ANDV,2017-09-22,101.958800,102.449000,False,101.625500,101.949000,reg,845764
ANDV,2017-09-25,103.213700,103.419600,False,101.777500,102.017600,reg,1510173
ANDV,2017-09-26,101.723500,103.527400,False,101.674500,103.056800,reg,1116501
ANDV,2017-09-27,100.429400,101.846600,False,99.792200,101.723500,reg,2062136
ANDV,2017-09-28,100.468700,100.635300,False,99.037300,99.841200,reg,1765555
ANDV,2017-09-29,101.125500,102.517600,False,100.380400,100.527500,reg,1385799
ANDV,2017-10-02,101.713700,101.851000,False,100.409800,100.978500,reg,1295837
ANDV,2017-10-03,102.703900,103.262700,False,101.880400,102.292200,reg,1398804
ANDV,2017-10-04,103.056800,103.115700,False,102.115700,103.007800,reg,957994
ANDV,2017-10-05,103.292100,104.223500,False,102.145100,103.154900,reg,1457903
ANDV,2017-10-06,103.909800,104.262700,False,102.400000,102.400000,reg,1185862
ANDV,2017-10-09,104.566600,105.596000,False,103.527400,103.801900,reg,1449544
ANDV,2017-10-10,104.243100,105.056800,False,104.017600,105.027400,reg,1125265
ANDV,2017-10-11,104.331300,104.498000,False,103.566600,104.066600,reg,981809
ANDV,2017-10-12,103.605900,104.262700,False,102.851000,104.056800,reg,1010757
ANDV,2017-10-13,103.301900,104.076400,False,102.939200,104.076400,reg,819490
ANDV,2017-10-16,101.782400,103.056800,False,101.292200,102.566700,reg,1466804
ANDV,2017-10-17,102.400000,103.330800,False,101.929400,102.262700,reg,1013211
ANDV,2017-10-18,102.272500,102.566700,False,101.164700,102.154900,reg,1005483
ANDV,2017-10-19,102.890200,102.978300,False,101.449000,101.645100,reg,768591
ANDV,2017-10-20,104.468600,104.468600,False,102.939200,103.272500,reg,1054595
ANDV,2017-10-23,103.772500,104.743100,False,103.605900,104.743100,reg,942404
ANDV,2017-10-24,104.654900,104.801900,False,103.752900,104.174500,reg,1090071
ANDV,2017-10-25,102.841200,104.762700,False,102.792100,103.429400,reg,841751
ANDV,2017-10-26,102.694100,103.223500,False,101.723500,103.223500,reg,1053884
ANDV,2017-10-27,103.664700,103.664700,False,102.135300,102.703900,reg,1164120
ANDV,2017-10-30,102.860800,104.390100,False,102.811700,103.958800,reg,872173
ANDV,2017-10-31,104.154900,104.831300,False,102.811700,103.096100,reg,1090370
ANDV,2017-11-01,107.066600,107.125400,False,104.762700,105.017600,reg,1171751
ANDV,2017-11-02,107.576400,109.086100,False,106.380300,107.174400,reg,1490181
ANDV,2017-11-03,108.007700,108.448900,False,107.037200,108.223400,reg,1149709
ANDV,2017-11-06,109.380200,110.007700,False,107.880300,108.507700,reg,1253707
ANDV,2017-11-07,109.095900,109.598300,False,108.282200,109.380200,reg,887266
ANDV,2017-11-08,108.958700,109.174400,False,107.958700,108.645000,reg,988807
ANDV,2017-11-09,104.899900,107.733200,False,101.409800,107.468500,reg,2954862
ANDV,2017-11-10,105.096000,105.478400,False,104.370500,105.331300,reg,1468266
ANDV,2017-11-13,104.066600,105.772500,False,103.576400,105.096000,reg,1253266
ANDV,2017-11-14,103.615700,104.449000,False,102.831400,103.880400,reg,1239369
ANDV,2017-11-15,101.792200,103.115700,False,101.096100,103.115700,reg,1596123
ANDV,2017-11-16,102.733300,103.429400,False,101.262800,101.909800,reg,1198554
ANDV,2017-11-17,103.272500,103.488200,False,102.419600,102.596100,reg,585079
ANDV,2017-11-20,103.047000,103.478400,False,102.223500,103.439200,reg,1183597
ANDV,2017-11-21,103.272500,104.184300,False,102.880400,102.880400,reg,901684
ANDV,2017-11-22,101.909800,103.576400,False,100.998100,103.576400,reg,1407898
ANDV,2017-11-24,101.958800,102.233300,False,101.498000,101.968600,reg,456926
ANDV,2017-11-27,101.517700,102.243100,False,100.978500,102.243100,reg,1152674
ANDV,2017-11-28,103.390200,103.635300,False,101.860800,102.233300,reg,1044739
ANDV,2017-11-29,103.666200,103.883100,False,102.404300,103.064800,reg,1209187
ANDV,2017-11-30,103.981700,104.484400,False,102.956400,103.952100,reg,1847115
ANDV,2017-12-01,102.956400,104.701400,False,100.846600,104.484500,reg,1539150
ANDV,2017-12-04,105.460500,107.383000,False,102.995800,103.242300,reg,2057659
ANDV,2017-12-05,106.061900,108.930900,False,105.490100,105.707000,reg,2460783
ANDV,2017-12-06,106.219700,107.649200,False,105.490100,105.785900,reg,1578680
ANDV,2017-12-07,107.383000,107.885800,False,105.776000,105.983100,reg,1118637
ANDV,2017-12-08,109.473100,109.985800,False,106.840800,109.473100,reg,1714009
ANDV,2017-12-11,109.394200,110.547700,False,109.128000,109.660400,reg,1174735
ANDV,2017-12-12,108.842100,110.173100,False,108.714000,108.842100,reg,1013254
ANDV,2017-12-13,107.363300,109.719600,False,107.304100,108.980200,reg,1866265
ANDV,2017-12-14,107.422500,107.797100,False,105.746400,107.560500,reg,2039112
ANDV,2017-12-15,109.975900,109.975900,False,107.787200,108.230900,reg,2495854
ANDV,2017-12-18,110.370300,110.892800,False,109.433700,109.975900,reg,2082843
ANDV,2017-12-19,108.822400,110.641400,False,108.428100,110.340700,reg,1542368
ANDV,2017-12-20,109.364700,109.926600,False,107.176000,109.414000,reg,1576860
ANDV,2017-12-21,109.453400,110.025200,False,108.852000,109.591400,reg,1285204
ANDV,2017-12-22,110.597000,111.237800,False,109.502700,109.729400,reg,759803
ANDV,2017-12-26,112.687100,112.844800,False,110.508300,110.666000,reg,768278
ANDV,2017-12-27,113.377200,114.185700,False,112.144900,112.657500,reg,1415728
ANDV,2017-12-28,113.732100,113.880000,False,111.898400,113.584300,reg,1287832
ANDV,2017-12-29,112.726500,114.422300,False,112.726500,113.722300,reg,830944
ANDV,2018-01-02,113.150500,114.234900,False,112.381500,113.298400,reg,1451819
ANDV,2018-01-03,114.816600,115.358900,False,113.673000,113.771600,reg,1731676
ANDV,2018-01-04,114.373000,115.260300,False,113.673000,115.211000,reg,1550891
ANDV,2018-01-05,114.639200,115.063100,False,113.535000,114.511000,reg,898339
ANDV,2018-01-08,114.353300,115.230700,False,113.998300,114.727900,reg,1401108
ANDV,2018-01-09,114.402500,115.028600,False,114.175800,114.491300,reg,1041702
ANDV,2018-01-10,114.836300,115.477200,False,113.909600,114.087100,reg,937194
ANDV,2018-01-11,115.772900,116.486400,False,114.875800,115.349000,reg,1092865
ANDV,2018-01-12,117.448900,117.646100,False,115.920800,116.009500,reg,1050258
ANDV,2018-01-16,117.468700,118.257400,False,116.960900,117.587000,reg,1529220
ANDV,2018-01-17,119.420700,119.992500,False,117.527800,117.951700,reg,1798835
ANDV,2018-01-18,116.541900,119.351700,False,116.108100,118.839000,reg,1205800
ANDV,2018-01-19,116.680000,116.995400,False,115.536300,116.640500,reg,1483619
ANDV,2018-01-22,117.567300,117.872900,False,115.349000,116.847600,reg,1115770
ANDV,2018-01-23,116.946100,117.704100,False,116.413800,117.508100,reg,927396
ANDV,2018-01-24,114.925100,117.567300,False,114.067300,117.567300,reg,1327931
ANDV,2018-01-25,113.495500,115.437700,False,113.160300,115.418000,reg,1782814
ANDV,2018-01-26,112.499800,113.815900,False,112.194200,113.722300,reg,1309826
ANDV,2018-01-29,109.197100,112.470200,False,108.408300,112.194200,reg,2137449
ANDV,2018-01-30,107.333700,108.418200,False,106.732300,108.240700,reg,1566873
ANDV,2018-01-31,106.633700,107.166100,False,103.853500,107.166100,reg,3519601
ANDV,2018-02-01,105.302800,106.574600,False,103.400000,106.574600,reg,2117279
ANDV,2018-02-02,102.069100,105.076000,False,101.438100,104.169000,reg,2046331
ANDV,2018-02-05,97.888900,102.197200,False,96.508700,100.560700,reg,1833560
ANDV,2018-02-06,101.733900,101.881800,False,95.877700,96.104500,reg,2591472
ANDV,2018-02-07,99.200100,103.725400,False,99.091700,101.418400,reg,2181191
ANDV,2018-02-08,95.532600,99.772000,False,95.493200,99.111400,reg,1959878
ANDV,2018-02-09,95.936800,97.341700,False,93.205900,96.558000,reg,1742297
ANDV,2018-02-12,96.252300,98.391700,False,95.710100,96.755100,reg,1293196
ANDV,2018-02-13,96.390400,96.607300,False,95.355200,95.838300,reg,1173527
ANDV,2018-02-14,97.218500,98.084100,False,95.660800,95.996000,reg,1187470
ANDV,2018-02-15,97.672000,98.588900,False,96.498800,97.612900,reg,1627851
ANDV,2018-02-16,94.793200,97.563600,False,93.324200,96.843900,reg,2727810
ANDV,2018-02-20,92.851000,95.029800,False,92.239800,94.191800,reg,1756882
ANDV,2018-02-21,91.244000,93.689000,False,91.244000,92.752400,reg,1400118
ANDV,2018-02-22,91.145400,93.186200,False,91.096100,91.746800,reg,1130623
ANDV,2018-02-23,93.196100,93.344000,False,91.480600,91.815800,reg,1429887
ANDV,2018-02-26,93.205900,93.511600,False,92.308800,93.087600,reg,1613686
ANDV,2018-02-27,92.838900,94.475800,False,92.660300,93.612700,reg,1599664
ANDV,2018-02-28,88.910200,93.622600,False,88.870500,92.878600,reg,1850706
ANDV,2018-03-01,90.328900,91.608700,False,88.930100,88.930100,reg,1950888
ANDV,2018-03-02,91.271400,91.569000,False,89.386400,89.733700,reg,1484291
ANDV,2018-03-05,93.702000,94.456000,False,90.507500,91.281300,reg,2294801
ANDV,2018-03-06,95.666300,96.539300,False,93.826000,94.247600,reg,2477008
ANDV,2018-03-07,95.954000,97.372700,False,94.594800,94.654400,reg,2073138
ANDV,2018-03-08,99.704100,99.833000,False,96.092900,96.360800,reg,4146225
ANDV,2018-03-09,101.350900,102.144600,False,99.962000,100.884600,reg,2171738
ANDV,2018-03-12,99.198100,101.891600,False,98.503600,101.837000,reg,2279844
ANDV,2018-03-13,97.789300,100.418400,False,97.412400,99.247700,reg,2002478
