symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
BLL,2017-09-22,40.588600,40.727200,False,40.271800,40.380700,reg,1748024
BLL,2017-09-25,40.400500,40.648000,False,40.182700,40.648000,reg,2465968
BLL,2017-09-26,40.558900,40.628200,False,40.331200,40.499500,reg,1713490
BLL,2017-09-27,40.578700,40.806400,False,40.281700,40.578700,reg,3171633
BLL,2017-09-28,41.004400,41.073700,False,40.440100,40.440100,reg,1949885
BLL,2017-09-29,40.885600,40.984600,False,40.598500,40.954900,reg,3090377
BLL,2017-10-02,40.945000,41.019200,False,40.578700,40.935100,reg,2417396
BLL,2017-10-03,41.162800,41.311300,False,40.836100,41.053900,reg,2051933
BLL,2017-10-04,41.341000,41.499400,False,40.954900,41.202400,reg,1742149
BLL,2017-10-05,41.608300,41.667700,False,41.301400,41.390500,reg,2021225
BLL,2017-10-06,41.598400,41.727100,False,41.341000,41.440000,reg,1267587
BLL,2017-10-09,41.638000,41.727100,False,41.380600,41.598400,reg,1313797
BLL,2017-10-10,42.073600,42.202300,False,41.727100,41.836000,reg,2110095
BLL,2017-10-11,41.875600,42.192400,False,41.756800,41.890400,reg,2113319
BLL,2017-10-12,41.826100,41.974600,False,41.746900,41.806300,reg,1627185
BLL,2017-10-13,41.925100,42.192400,False,41.875600,41.915200,reg,1889383
BLL,2017-10-16,41.766700,41.964700,False,41.529100,41.964700,reg,1755988
BLL,2017-10-17,41.558800,41.826100,False,41.390500,41.697400,reg,1384460
BLL,2017-10-18,41.687500,41.836000,False,41.598400,41.638000,reg,1348829
BLL,2017-10-19,41.519200,41.677600,False,41.261800,41.598400,reg,2541022
BLL,2017-10-20,41.875600,41.875600,False,41.494400,41.766700,reg,1504356
BLL,2017-10-23,42.479400,42.687300,False,41.935000,42.212200,reg,2809671
BLL,2017-10-24,42.489300,42.642800,False,42.241900,42.618000,reg,2292974
BLL,2017-10-25,42.024100,42.491700,False,41.806300,42.429900,reg,1688541
BLL,2017-10-26,42.301300,42.459600,False,42.043900,42.321100,reg,1744594
BLL,2017-10-27,42.340800,42.489300,False,41.885500,42.340800,reg,1804766
BLL,2017-10-30,42.212200,42.429900,False,41.984500,42.261700,reg,1238356
BLL,2017-10-31,42.499200,42.568500,False,42.123100,42.321100,reg,1628889
BLL,2017-11-01,42.271600,42.806100,False,42.182500,42.766500,reg,2264761
BLL,2017-11-02,41.380600,42.395300,False,39.865900,42.202300,reg,5981030
BLL,2017-11-03,41.331100,41.667700,False,41.014300,41.400400,reg,2866574
BLL,2017-11-06,41.034100,41.400400,False,40.742100,41.400400,reg,2752961
BLL,2017-11-07,40.638100,41.291500,False,40.628200,41.083600,reg,2244474
BLL,2017-11-08,40.331200,40.747000,False,40.261900,40.638100,reg,3323242
BLL,2017-11-09,39.915400,40.375800,False,39.737200,40.044100,reg,2857139
