symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
COG,2017-09-22,26.339900,26.369700,False,26.022800,26.102100,reg,4461859
COG,2017-09-25,26.558000,26.667000,False,26.320100,26.488600,reg,3706642
COG,2017-09-26,26.627300,26.767100,False,26.538100,26.567900,reg,4996603
COG,2017-09-27,26.587700,26.845300,False,26.280500,26.756200,reg,6066785
COG,2017-09-28,26.577800,26.706600,False,26.211100,26.587700,reg,6840298
COG,2017-09-29,26.508400,26.582700,False,26.196300,26.349900,reg,4996825
COG,2017-10-02,26.528200,26.577800,False,26.052600,26.240800,reg,6350649
COG,2017-10-03,26.339900,26.538100,False,26.275500,26.478700,reg,3078195
COG,2017-10-04,26.191300,26.543100,False,25.993100,26.498500,reg,3488131
COG,2017-10-05,26.151700,26.409300,False,26.077300,26.330000,reg,3529342
COG,2017-10-06,25.477800,26.042700,False,25.408400,25.953500,reg,4560152
COG,2017-10-09,25.210200,25.517400,False,25.051700,25.477800,reg,4774869
COG,2017-10-10,25.131000,25.438200,False,25.012000,25.378700,reg,5563916
COG,2017-10-11,25.279600,25.299400,False,25.022000,25.081400,reg,3323705
COG,2017-10-12,25.765200,25.834600,False,25.091300,25.190400,reg,5773346
COG,2017-10-13,25.765200,26.151700,False,25.666100,25.993100,reg,6533981
COG,2017-10-16,25.458000,25.874200,False,25.428300,25.755300,reg,4988814
COG,2017-10-17,25.646300,25.715600,False,25.349000,25.458000,reg,3990108
COG,2017-10-18,25.388600,25.765200,False,25.358900,25.547200,reg,3876971
COG,2017-10-19,25.249900,25.349000,False,24.982300,25.269700,reg,3644047
COG,2017-10-20,25.299400,25.368800,False,25.121100,25.289500,reg,3545462
COG,2017-10-23,25.002100,25.477800,False,24.987300,25.438200,reg,3602608
COG,2017-10-24,24.694900,25.101200,False,24.595800,25.041800,reg,3986384
COG,2017-10-25,24.199500,24.749400,False,24.159800,24.566100,reg,5455465
COG,2017-10-26,24.427400,24.457100,False,23.882300,24.189500,reg,5656312
COG,2017-10-27,26.508400,26.776000,False,24.387700,24.972400,reg,12719055
COG,2017-10-30,26.944400,27.063400,False,26.409300,26.607500,reg,7834042
COG,2017-10-31,27.449800,27.747100,False,26.994000,27.152500,reg,9259661
COG,2017-11-01,27.657900,27.847300,False,27.301200,27.499400,reg,7164105
COG,2017-11-02,28.004800,28.034500,False,27.529100,27.717400,reg,7370402
COG,2017-11-03,27.975000,28.153400,False,27.757000,27.975000,reg,6115346
COG,2017-11-06,28.520100,28.767800,False,28.143500,28.341700,reg,7741606
COG,2017-11-07,27.638200,27.717600,False,26.973100,27.251000,reg,10863432
COG,2017-11-08,27.618300,27.906200,False,27.141800,27.598500,reg,6921065
COG,2017-11-09,28.353000,28.611100,False,27.926100,28.045200,reg,7256422
COG,2017-11-10,28.779900,28.849400,False,28.094900,28.104800,reg,6005335
COG,2017-11-13,28.849400,29.047900,False,28.551500,28.680600,reg,4422305
COG,2017-11-14,28.253700,28.710400,False,28.080000,28.601200,reg,4607147
COG,2017-11-15,28.243800,28.353000,False,27.747400,28.154400,reg,3996225
COG,2017-11-16,28.531700,28.631000,False,28.114800,28.372800,reg,3802846
COG,2017-11-17,29.177000,29.196800,False,28.611100,28.700400,reg,5599626
COG,2017-11-20,28.799700,29.157100,False,28.710400,29.028100,reg,4078593
COG,2017-11-21,28.859300,29.082700,False,28.700400,28.918900,reg,2791350
COG,2017-11-22,29.226600,29.266300,False,28.918900,29.067800,reg,2645327
COG,2017-11-24,29.038000,29.286200,False,28.978400,29.276200,reg,995518
COG,2017-11-27,28.928800,29.251400,False,28.869200,29.186900,reg,2858403
COG,2017-11-28,28.889100,29.097500,False,28.809600,29.038000,reg,2885383
COG,2017-11-29,28.958600,29.256400,False,28.700400,29.177000,reg,3337186
COG,2017-11-30,28.740200,29.355700,False,28.372800,28.998300,reg,8371917
COG,2017-12-01,28.472100,29.325900,False,28.164400,29.018100,reg,7238323
COG,2017-12-04,28.362900,29.057800,False,28.233900,28.303300,reg,4391294
COG,2017-12-05,28.124700,28.288500,False,27.936000,28.223900,reg,4090194
COG,2017-12-06,27.846700,28.179300,False,27.691100,28.075000,reg,3585958
COG,2017-12-07,27.578600,27.916200,False,27.449600,27.747400,reg,3204867
COG,2017-12-08,27.548900,27.876500,False,27.499200,27.687800,reg,4460902
COG,2017-12-11,28.124700,28.422500,False,27.797000,27.826800,reg,3282208
COG,2017-12-12,27.399900,28.303300,False,27.390000,27.399900,reg,3251962
COG,2017-12-13,27.558800,27.866500,False,27.241100,27.380100,reg,4039724
COG,2017-12-14,27.062400,27.529000,False,27.052500,27.409900,reg,4482936
COG,2017-12-15,26.446900,27.270900,False,26.268200,27.261000,reg,7074187
COG,2017-12-18,26.893600,27.161700,False,26.536200,26.665300,reg,5070493
COG,2017-12-19,26.625600,27.012800,False,26.576000,26.953200,reg,3411310
COG,2017-12-20,26.774500,26.853900,False,26.387400,26.556100,reg,3549973
COG,2017-12-21,27.519100,27.578600,False,26.551100,26.635500,reg,7591903
COG,2017-12-22,27.390000,27.618300,False,27.221200,27.459500,reg,4295957
COG,2017-12-26,27.896300,27.906200,False,27.459500,27.548900,reg,2901007
COG,2017-12-27,27.926100,28.015400,False,27.747400,27.807000,reg,3635784
COG,2017-12-28,28.333100,28.392700,False,27.886400,28.114700,reg,4402430
COG,2017-12-29,28.392700,28.501900,False,27.990200,28.482000,reg,5095505
COG,2018-01-02,28.690500,28.740200,False,28.015400,28.104800,reg,5244902
COG,2018-01-03,28.819600,29.345700,False,28.750100,28.968500,reg,5350930
COG,2018-01-04,28.700400,29.117400,False,28.561500,28.879100,reg,4540227
COG,2018-01-05,28.551500,28.879100,False,28.372800,28.372800,reg,4459125
COG,2018-01-08,28.700400,28.710400,False,28.303300,28.650800,reg,4200345
COG,2018-01-09,28.908900,29.028100,False,28.591200,28.730200,reg,4225759
COG,2018-01-10,27.757300,29.008200,False,27.608400,28.928800,reg,5037825
COG,2018-01-11,28.194100,28.700400,False,27.797000,27.985700,reg,6340114
COG,2018-01-12,28.670700,28.740200,False,28.055200,28.094900,reg,6908199
COG,2018-01-16,27.826800,28.640800,False,27.747400,28.571400,reg,4725773
COG,2018-01-17,27.777200,27.941000,False,27.350300,27.598500,reg,5376957
COG,2018-01-18,27.370200,27.886400,False,27.261000,27.677900,reg,4450627
COG,2018-01-19,27.310600,27.429700,False,27.062400,27.370200,reg,4393963
COG,2018-01-22,27.906200,27.926100,False,27.399900,27.509100,reg,4119795
COG,2018-01-23,28.214100,28.363400,False,27.816200,28.025100,reg,4121129
COG,2018-01-24,27.965400,28.632000,False,27.885800,28.452900,reg,4218285
COG,2018-01-25,27.477900,28.194200,False,27.448100,28.124600,reg,2923857
COG,2018-01-26,27.686900,27.885800,False,27.512800,27.716700,reg,3057248
COG,2018-01-29,26.920800,27.458000,False,26.836200,27.418200,reg,3633501
COG,2018-01-30,26.552700,26.900900,False,26.383600,26.731800,reg,3826348
COG,2018-01-31,26.214500,26.761600,False,26.124900,26.612400,reg,6085916
COG,2018-02-01,26.065200,26.323900,False,25.736900,26.154800,reg,5662463
COG,2018-02-02,25.060400,25.717000,False,24.901300,25.687200,reg,6586802
COG,2018-02-05,23.956100,25.010700,False,23.782000,24.632600,reg,9238111
COG,2018-02-06,24.473500,24.612700,False,23.359200,23.528400,reg,9514985
COG,2018-02-07,23.249800,24.533200,False,23.229900,24.413800,reg,8007593
COG,2018-02-08,22.891600,23.806900,False,22.881700,23.289600,reg,9140680
COG,2018-02-09,23.518400,23.677600,False,22.478800,23.070700,reg,9291097
COG,2018-02-12,23.717400,24.145200,False,23.428900,23.886500,reg,7359145
COG,2018-02-13,23.607900,23.777100,False,23.458700,23.717400,reg,3606836
COG,2018-02-14,23.876600,24.135200,False,23.170200,23.369200,reg,5864130
COG,2018-02-15,23.926300,24.135200,False,23.672600,23.896400,reg,6197963
COG,2018-02-16,23.767100,24.085500,False,23.707400,23.846700,reg,5411496
COG,2018-02-20,23.797000,24.075500,False,23.647700,24.025800,reg,4681789
COG,2018-02-21,23.130400,23.836800,False,23.120500,23.797000,reg,7216209
COG,2018-02-22,23.757200,24.125300,False,23.229900,23.379100,reg,7452537
COG,2018-02-23,24.334200,25.358900,False,23.886500,24.354100,reg,8510455
COG,2018-02-26,24.811700,24.871400,False,24.374000,24.632600,reg,5702137
COG,2018-02-27,24.115300,25.140000,False,24.115300,24.791800,reg,4928559
COG,2018-02-28,24.035700,24.523200,False,24.025800,24.334200,reg,4044583
COG,2018-03-01,24.791800,24.871400,False,24.015800,24.045700,reg,6141706
COG,2018-03-02,25.130100,25.219600,False,24.582900,24.752000,reg,6534317
COG,2018-03-05,25.179800,25.518100,False,25.000700,25.030600,reg,5427891
COG,2018-03-06,25.060400,25.418600,False,24.921200,25.319100,reg,2887826
COG,2018-03-07,25.279300,25.403700,False,24.791800,24.821700,reg,5962491
COG,2018-03-08,24.821700,25.447500,False,24.722200,25.418600,reg,3843691
COG,2018-03-09,25.388700,25.438500,False,24.941000,24.951000,reg,3424290
COG,2018-03-12,25.388700,25.528000,False,24.970900,25.528000,reg,4142123
COG,2018-03-13,25.508100,25.637400,False,25.130100,25.378800,reg,4406869
COG,2018-03-14,25.438500,25.692200,False,25.358900,25.557900,reg,5108028
COG,2018-03-15,24.921200,25.682200,False,24.692300,25.538000,reg,6690160
COG,2018-03-16,24.861500,25.388700,False,24.791800,24.901300,reg,9495458
COG,2018-03-19,24.284400,24.732100,False,24.189900,24.592800,reg,6675453
COG,2018-03-20,23.946200,24.602800,False,23.826800,24.573000,reg,11275622
COG,2018-03-21,24.264500,24.433700,False,23.856700,24.065600,reg,16957894
COG,2018-03-22,23.836800,24.383900,False,23.826800,24.055600,reg,6194552
COG,2018-03-23,23.389100,24.175000,False,23.309500,23.956100,reg,5628474
COG,2018-03-26,23.846700,23.876600,False,23.200000,23.856700,reg,8975692
COG,2018-03-27,23.667600,24.065600,False,23.344300,23.886500,reg,6636544
COG,2018-03-28,23.598000,23.926300,False,23.468700,23.707400,reg,5864468
COG,2018-03-29,23.856700,24.065600,False,23.697500,23.757200,reg,7717634
COG,2018-04-02,23.030900,23.727300,False,22.633000,23.727300,reg,6463191
COG,2018-04-03,23.418900,23.478600,False,22.851800,23.180200,reg,3733558
COG,2018-04-04,23.588000,23.637800,False,23.040900,23.130400,reg,4396190
COG,2018-04-05,23.816900,23.946200,False,23.518400,23.637800,reg,5120008
COG,2018-04-06,23.050800,23.797000,False,22.702600,23.677600,reg,4908649
COG,2018-04-09,22.832000,23.219900,False,22.822000,23.011000,reg,3926221
COG,2018-04-10,23.428900,23.747200,False,22.991100,23.130400,reg,5643743
COG,2018-04-11,23.379100,23.578100,False,23.155300,23.399000,reg,4017872
COG,2018-04-12,23.438800,23.558200,False,23.244800,23.448800,reg,6706532
COG,2018-04-13,23.548200,23.737300,False,23.274700,23.428900,reg,8885660
COG,2018-04-16,23.836800,24.065600,False,23.468700,23.767100,reg,4990448
COG,2018-04-17,23.717400,23.836800,False,23.389100,23.747200,reg,5095835
COG,2018-04-18,23.916300,24.105400,False,23.647700,23.816900,reg,6013846
COG,2018-04-19,23.438800,23.941200,False,23.379100,23.856700,reg,7087402
COG,2018-04-20,22.961300,23.418900,False,22.792200,23.418900,reg,5764323
COG,2018-04-23,23.200000,23.279600,False,22.762100,22.911500,reg,5397566
COG,2018-04-24,23.140400,23.498500,False,22.946400,23.349300,reg,4465691
COG,2018-04-25,23.050800,23.115500,False,22.841900,22.881700,reg,4576336
COG,2018-04-26,23.349300,23.558200,False,23.090600,23.090600,reg,5032463
COG,2018-04-27,23.498500,24.523200,False,23.160300,24.503300,reg,6084031
COG,2018-04-30,23.787000,23.956100,False,23.409000,23.448800,reg,5825968
COG,2018-05-01,23.846700,24.050700,False,23.647700,23.707400,reg,5795078
COG,2018-05-02,23.687500,24.015800,False,23.588000,23.747200,reg,5610481
COG,2018-05-03,22.961300,23.617900,False,22.871700,23.478600,reg,4821866
COG,2018-05-04,23.309500,23.438800,False,22.921500,22.971200,reg,4751007
COG,2018-05-07,22.901600,23.846700,False,22.871700,23.617900,reg,7751776
COG,2018-05-08,23.219900,23.229900,False,22.483800,22.822000,reg,5074825
COG,2018-05-09,22.981200,23.667600,False,22.941400,23.498500,reg,7047441
COG,2018-05-10,22.841900,22.896600,False,22.444000,22.822000,reg,8887422
COG,2018-05-11,22.553400,23.001100,False,22.463900,22.871700,reg,4949754
COG,2018-05-14,23.150300,23.249800,False,22.603100,22.682700,reg,4759334
COG,2018-05-15,23.140500,23.180400,False,22.771500,23.110600,reg,3433631
COG,2018-05-16,23.220300,23.310100,False,23.000900,23.120600,reg,3844960
COG,2018-05-17,23.290100,23.599300,False,23.150500,23.300100,reg,6258408
COG,2018-05-18,23.220300,23.310100,False,23.045800,23.270200,reg,7790021
COG,2018-05-21,23.350000,23.519500,False,23.160500,23.310100,reg,4315122
COG,2018-05-22,22.731600,23.709100,False,22.661700,23.439700,reg,6346786
COG,2018-05-23,22.721600,22.791400,False,22.292700,22.621800,reg,5651329
COG,2018-05-24,22.322600,22.651800,False,22.178000,22.542100,reg,5020595
COG,2018-05-25,22.442300,22.532100,False,21.654300,21.963500,reg,8471130
COG,2018-05-29,21.893700,22.262800,False,21.744100,22.143100,reg,5108752
COG,2018-05-30,22.631800,22.781400,False,21.953600,22.053300,reg,5049547
