symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
ETR,2017-09-22,74.173100,75.845000,False,73.989400,75.574400,reg,880092
ETR,2017-09-25,75.149200,75.178100,False,74.173100,74.279400,reg,923386
ETR,2017-09-26,74.849600,75.318300,False,74.791600,75.139500,reg,756933
ETR,2017-09-27,73.892800,74.511300,False,73.486900,74.366400,reg,1076316
ETR,2017-09-28,73.776800,74.202100,False,73.428900,73.776800,reg,843158
ETR,2017-09-29,73.796200,74.037800,False,73.448200,73.718800,reg,1149643
ETR,2017-10-02,73.854100,74.318000,False,73.680200,74.066800,reg,961229
ETR,2017-10-03,73.139000,73.912100,False,72.491500,73.912100,reg,997402
ETR,2017-10-04,75.777300,75.811200,False,72.723400,72.926400,reg,2598620
ETR,2017-10-05,76.434500,76.666400,False,75.197500,75.767700,reg,1676854
ETR,2017-10-06,76.009300,76.579500,False,75.023500,75.854600,reg,1925394
ETR,2017-10-09,76.212200,76.545600,False,76.067300,76.173600,reg,1122906
ETR,2017-10-10,76.966000,77.130300,False,75.970600,76.395800,reg,1015353
ETR,2017-10-11,77.652200,78.019400,False,76.840400,77.429900,reg,1642215
ETR,2017-10-12,79.053500,79.072800,False,77.313900,77.623200,reg,1392167
ETR,2017-10-13,79.527100,80.048900,False,79.121200,79.246800,reg,1523198
ETR,2017-10-16,80.609500,81.131300,False,79.507700,79.768700,reg,2092917
ETR,2017-10-17,81.759500,81.759500,False,80.590100,80.648100,reg,1559887
ETR,2017-10-18,81.817500,81.933500,False,81.131300,81.131300,reg,1421186
ETR,2017-10-19,82.494000,82.561600,False,81.696700,82.146100,reg,1516121
ETR,2017-10-20,82.783900,82.841900,False,82.107400,82.387700,reg,1617487
ETR,2017-10-23,82.368300,83.102800,False,82.358700,83.054500,reg,1725587
ETR,2017-10-24,83.093200,83.499100,False,81.836800,82.774200,reg,1796695
ETR,2017-10-25,83.441100,83.586000,False,81.537200,83.228500,reg,1586639
ETR,2017-10-26,83.286400,84.078900,False,83.218800,83.856600,reg,1012807
ETR,2017-10-27,83.856600,83.924300,False,82.987000,83.247800,reg,1142415
ETR,2017-10-30,83.489400,83.789000,False,83.131800,83.789000,reg,1146722
ETR,2017-10-31,83.363800,83.731000,False,83.151100,83.296100,reg,979249
ETR,2017-11-01,82.793600,83.460400,False,82.378000,83.421700,reg,1368664
ETR,2017-11-02,83.731000,83.837300,False,82.416700,83.015900,reg,2217076
ETR,2017-11-03,84.078900,84.900400,False,83.402400,83.576400,reg,1062341
ETR,2017-11-06,83.460400,84.349500,False,83.344400,84.011300,reg,956047
ETR,2017-11-07,83.934000,84.146600,False,83.141500,83.450700,reg,911719
ETR,2017-11-08,84.213500,84.456700,False,83.588600,83.803400,reg,1937939
ETR,2017-11-09,84.389300,84.565100,False,83.608100,83.940100,reg,1346507
ETR,2017-11-10,83.129600,84.262300,False,83.100300,83.930300,reg,1196622
ETR,2017-11-13,84.604100,84.652900,False,83.227300,83.227300,reg,1476054
ETR,2017-11-14,85.365800,85.443900,False,84.164700,84.389300,reg,1219673
ETR,2017-11-15,84.399100,85.883300,False,84.252600,85.443900,reg,1581441
ETR,2017-11-16,83.881500,84.457600,False,83.783900,84.233100,reg,875348
ETR,2017-11-17,84.477200,85.170500,False,83.647200,83.647200,reg,1216439
ETR,2017-11-20,83.637400,84.477200,False,83.227300,84.477200,reg,1007723
ETR,2017-11-21,83.598300,84.086600,False,83.481100,83.705700,reg,788488
ETR,2017-11-22,83.500700,83.700900,False,82.856200,83.510400,reg,572538
ETR,2017-11-24,83.364000,83.901000,False,83.266300,83.539700,reg,235103
ETR,2017-11-27,84.057300,84.350200,False,83.246800,83.588600,reg,1463578
ETR,2017-11-28,84.311200,84.760400,False,84.096300,84.428400,reg,1218178
ETR,2017-11-29,84.125600,84.330700,False,83.451800,83.988900,reg,831648
ETR,2017-11-30,84.447900,84.721300,False,83.735000,84.203800,reg,1405060
ETR,2017-12-01,83.510400,85.043500,False,83.110100,84.779900,reg,1319732
ETR,2017-12-04,82.387500,83.720400,False,82.084700,83.676400,reg,2665858
ETR,2017-12-05,81.176600,82.602300,False,80.825100,82.563200,reg,1701765
ETR,2017-12-06,81.625800,81.850400,False,81.049700,81.420700,reg,1148476
ETR,2017-12-07,81.733200,81.752700,False,81.049700,81.567200,reg,801164
ETR,2017-12-08,82.065200,82.294700,False,81.323100,81.577000,reg,944958
ETR,2017-12-11,82.592500,82.641400,False,81.684400,81.869900,reg,2303628
ETR,2017-12-12,81.303500,83.227300,False,81.176600,81.303500,reg,1540970
ETR,2017-12-13,81.362100,81.830900,False,81.020400,81.401200,reg,1228513
ETR,2017-12-14,80.717600,81.293800,False,79.926700,81.108200,reg,1288603
