symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
FE,2017-09-22,29.579200,29.962200,False,29.569600,29.914300,reg,2699292
FE,2017-09-25,29.789800,29.809000,False,29.473800,29.588700,reg,3211472
FE,2017-09-26,29.521700,29.741900,False,29.464200,29.694100,reg,4357940
FE,2017-09-27,28.784400,29.464200,False,28.755600,29.368500,reg,5710007
FE,2017-09-28,28.793900,29.042900,False,28.545000,28.726900,reg,3703241
FE,2017-09-29,29.521700,29.636600,False,28.822700,28.880100,reg,7725701
FE,2017-10-02,29.540800,29.789800,False,29.349300,29.607900,reg,4121415
FE,2017-10-03,29.703600,29.852100,False,29.349300,29.512100,reg,3659612
FE,2017-10-04,30.019600,30.077100,False,29.540800,29.694100,reg,3514562
FE,2017-10-05,30.000500,30.192000,False,29.895100,30.057900,reg,3345284
FE,2017-10-06,30.048400,30.086700,False,29.660500,29.895100,reg,4478928
FE,2017-10-09,30.077100,30.163300,False,29.952600,30.048400,reg,2433089
FE,2017-10-10,30.249400,30.306900,False,30.048400,30.086700,reg,3519734
FE,2017-10-11,30.479300,30.527100,False,30.220700,30.306900,reg,4329333
FE,2017-10-12,31.073000,31.178300,False,30.421800,30.517600,reg,4196899
FE,2017-10-13,31.111300,31.417700,False,30.905400,31.130400,reg,4332910
FE,2017-10-16,30.699500,31.149600,False,30.680300,31.034600,reg,5436889
FE,2017-10-17,30.804800,30.900600,False,30.622900,30.795300,reg,3881219
FE,2017-10-18,30.632500,30.833600,False,30.441000,30.757000,reg,3909259
FE,2017-10-19,30.929300,30.938900,False,30.555900,30.766500,reg,3206729
FE,2017-10-20,30.766500,30.910200,False,30.565400,30.871900,reg,3054639
FE,2017-10-23,30.766500,30.833600,False,30.670800,30.814400,reg,1945499
FE,2017-10-24,30.651600,30.776100,False,30.546300,30.747400,reg,2671326
FE,2017-10-25,30.498400,30.613300,False,30.010100,30.546300,reg,4901047
FE,2017-10-26,30.431400,30.804800,False,30.316500,30.632500,reg,3028583
FE,2017-10-27,30.929300,31.111300,False,30.278200,30.737800,reg,5708770
FE,2017-10-30,31.283600,31.312300,False,30.891000,31.015500,reg,6294872
FE,2017-10-31,31.551700,31.714500,False,31.283600,31.321900,reg,3714702
FE,2017-11-01,31.178300,31.551700,False,31.120800,31.532600,reg,3431165
FE,2017-11-02,31.216600,31.341100,False,30.910200,31.207000,reg,2867197
FE,2017-11-03,31.360200,31.475100,False,31.082500,31.178300,reg,3110171
FE,2017-11-06,31.727900,32.202300,False,31.355200,31.398700,reg,5491574
FE,2017-11-07,32.086200,32.173300,False,31.669800,31.766700,reg,4937732
FE,2017-11-08,32.657400,32.812300,False,31.989300,32.028100,reg,4221484
FE,2017-11-09,32.531500,32.904300,False,32.444400,32.502500,reg,3247962
FE,2017-11-10,32.802600,32.899400,False,32.308800,32.308800,reg,3961761
FE,2017-11-13,33.122100,33.402900,False,32.754200,32.783300,reg,4124240
FE,2017-11-14,33.935400,33.945100,False,33.044700,33.044700,reg,5251549
FE,2017-11-15,33.674000,34.100000,False,33.335100,34.003200,reg,5353042
FE,2017-11-16,33.538500,33.756200,False,33.480400,33.654600,reg,1862151
FE,2017-11-17,33.548100,33.906400,False,33.402900,33.470700,reg,4260651
FE,2017-11-20,33.451300,33.625600,False,33.354500,33.548100,reg,3078059
FE,2017-11-21,33.141500,33.490000,False,33.093100,33.490000,reg,3256434
FE,2017-11-22,33.151200,33.301200,False,33.035000,33.170500,reg,2856703
FE,2017-11-24,32.860700,33.320600,False,32.851000,33.180200,reg,2533184
FE,2017-11-27,32.860700,32.972100,False,32.657400,32.957500,reg,4417140
FE,2017-11-28,32.473400,32.880100,False,32.308800,32.831700,reg,6057808
FE,2017-11-29,32.599300,32.676800,False,32.313700,32.357300,reg,4447060
FE,2017-11-30,33.054400,33.151200,False,32.601800,32.638000,reg,4660180
FE,2017-12-01,32.686400,33.238300,False,32.212000,33.199600,reg,4432151
FE,2017-12-04,31.544000,32.744500,False,31.476200,32.744500,reg,8799754
FE,2017-12-05,31.321300,31.708600,False,31.214800,31.544000,reg,5046053
FE,2017-12-06,31.340600,31.534300,False,31.118000,31.418100,reg,3343217
FE,2017-12-07,31.679500,31.696500,False,31.185700,31.331000,reg,4848963
FE,2017-12-08,31.786000,31.824700,False,31.485900,31.669800,reg,3548230
FE,2017-12-11,32.086200,32.173300,False,31.757000,31.757000,reg,4390629
FE,2017-12-12,31.621400,32.207200,False,31.621400,31.621400,reg,4266914
FE,2017-12-13,31.243800,31.718200,False,31.243800,31.698900,reg,4284643
FE,2017-12-14,31.098600,31.263200,False,30.905000,31.127600,reg,4042839
FE,2017-12-15,30.817800,31.379400,False,30.750000,31.195400,reg,7756093
FE,2017-12-18,30.508000,30.982400,False,30.411200,30.943700,reg,4881078
FE,2017-12-19,30.023900,30.537000,False,29.965800,30.469300,reg,4921751
FE,2017-12-20,29.617200,30.130400,False,29.617200,29.994800,reg,3340064
FE,2017-12-21,29.617200,29.917400,False,29.297700,29.491400,reg,3600291
FE,2017-12-22,29.510700,29.810900,False,29.404200,29.656000,reg,2656983
FE,2017-12-26,29.355800,29.694700,False,29.336500,29.530100,reg,1908157
