symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
FLS,2017-09-22,41.908300,41.947600,False,41.003900,41.367600,reg,962585
FLS,2017-09-25,42.301500,42.370400,False,41.731400,41.731400,reg,1449964
FLS,2017-09-26,42.635800,42.783200,False,42.144200,42.370400,reg,1135589
FLS,2017-09-27,42.517800,42.911000,False,41.898500,42.812700,reg,1213479
FLS,2017-09-28,41.780500,42.694800,False,41.495400,42.429300,reg,1402924
FLS,2017-09-29,41.869000,42.045900,False,41.465900,41.810000,reg,1026802
FLS,2017-10-02,41.367600,41.908300,False,41.072700,41.800200,reg,2009426
FLS,2017-10-03,41.957500,41.967300,False,41.210300,41.406900,reg,1548955
FLS,2017-10-04,42.331000,42.852100,False,42.016400,42.075400,reg,1855560
FLS,2017-10-05,42.478500,42.684900,False,42.213100,42.360500,reg,1547209
FLS,2017-10-06,42.586600,42.606300,False,42.242600,42.331000,reg,1324037
FLS,2017-10-09,42.478500,42.586600,False,42.321200,42.517800,reg,838510
FLS,2017-10-10,42.802900,42.891400,False,42.567000,42.675100,reg,990442
FLS,2017-10-11,42.979900,42.989700,False,42.350700,42.655400,reg,848340
FLS,2017-10-12,43.323900,43.402600,False,42.684900,42.714400,reg,1774291
FLS,2017-10-13,43.628700,43.935900,False,43.510700,43.736800,reg,1061744
FLS,2017-10-16,43.884300,44.031700,False,43.579500,43.894100,reg,1510527
FLS,2017-10-17,43.825300,43.982600,False,43.618900,43.756500,reg,923748
FLS,2017-10-18,43.864600,44.071100,False,43.677800,43.805600,reg,1170213
FLS,2017-10-19,43.736800,44.061200,False,43.422200,43.559900,reg,743010
FLS,2017-10-20,44.611800,44.611800,False,43.933400,43.933400,reg,991158
FLS,2017-10-23,43.854800,44.611800,False,43.776100,44.611800,reg,1063118
FLS,2017-10-24,44.080900,44.395500,False,43.795800,44.189000,reg,1115403
FLS,2017-10-25,43.677800,44.036700,False,43.206100,43.933400,reg,1096806
FLS,2017-10-26,43.982600,44.159500,False,43.717200,44.012100,reg,868589
FLS,2017-10-27,43.510700,43.982600,False,43.284600,43.933400,reg,1195192
FLS,2017-10-30,43.137100,43.638500,False,43.137100,43.363300,reg,986802
FLS,2017-10-31,43.323900,43.481200,False,43.058500,43.225600,reg,2340494
FLS,2017-11-01,43.245300,44.071100,False,43.147000,43.687700,reg,2270987
FLS,2017-11-02,38.477400,42.684900,False,37.278000,42.684900,reg,7255289
FLS,2017-11-03,38.585500,39.086900,False,37.074100,37.887600,reg,4762868
FLS,2017-11-06,39.332700,39.548900,False,38.241500,38.359400,reg,2318999
FLS,2017-11-07,38.870600,39.490000,False,38.369300,39.401500,reg,1580397
FLS,2017-11-08,38.251300,38.752700,False,38.143100,38.752700,reg,1709023
FLS,2017-11-09,38.339800,38.506900,False,37.730300,37.858100,reg,1143417
FLS,2017-11-10,38.467600,38.497100,False,37.867900,38.005500,reg,1200587
