symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
MET,2017-09-22,48.839300,49.230700,False,48.395700,48.433400,reg,5754267
MET,2017-09-25,49.138900,49.293500,False,48.559000,48.684700,reg,5778857
MET,2017-09-26,49.738000,49.805600,False,48.868300,49.051900,reg,5872475
MET,2017-09-27,50.114900,50.477300,False,50.056900,50.356500,reg,7506947
MET,2017-09-28,49.593000,50.279100,False,49.322500,50.211500,reg,4526190
MET,2017-09-29,50.201800,50.221200,False,49.438400,49.525400,reg,4403202
MET,2017-10-02,50.385400,50.540100,False,49.767000,50.192200,reg,4593867
MET,2017-10-03,50.636700,50.656000,False,50.153500,50.366100,reg,3337033
MET,2017-10-04,50.752700,50.951500,False,50.622200,50.656000,reg,2971974
MET,2017-10-05,50.810600,51.226200,False,50.554600,50.733300,reg,3601050
MET,2017-10-06,51.235800,51.477400,False,50.839600,51.052200,reg,5112059
MET,2017-10-09,51.206800,51.337300,False,51.023200,51.216500,reg,2812357
MET,2017-10-10,51.351800,51.506400,False,50.970100,51.206800,reg,4003575
MET,2017-10-11,51.071600,51.293800,False,50.790300,50.965300,reg,3214039
MET,2017-10-12,50.955600,51.187500,False,50.868600,51.187500,reg,3533294
MET,2017-10-13,50.945900,51.216500,False,50.781700,50.859000,reg,3837314
MET,2017-10-16,51.090900,51.583700,False,50.970100,51.061900,reg,3240207
MET,2017-10-17,50.617400,51.438800,False,50.443400,51.438800,reg,4853674
MET,2017-10-18,51.023200,51.134400,False,50.665700,50.955600,reg,3368368
MET,2017-10-19,51.206800,51.284200,False,50.627000,50.627000,reg,2503971
MET,2017-10-20,51.496700,51.777000,False,51.293800,51.757700,reg,4300265
MET,2017-10-23,51.641700,51.844600,False,51.409800,51.409800,reg,4035094
MET,2017-10-24,52.318100,52.496900,False,52.028200,52.037900,reg,4186193
MET,2017-10-25,52.124900,52.395500,False,51.912300,52.371300,reg,3921269
MET,2017-10-26,52.385800,52.556400,False,52.221500,52.289200,reg,3374417
MET,2017-10-27,52.463100,52.482400,False,51.950900,52.231200,reg,2464198
MET,2017-10-30,52.153900,52.260200,False,51.844600,52.037900,reg,4043933
MET,2017-10-31,51.777000,52.429300,False,51.757700,52.153900,reg,3779566
MET,2017-11-01,52.057200,52.326000,False,51.719000,52.173200,reg,4361069
MET,2017-11-02,53.854600,54.028600,False,52.366500,52.965600,reg,6915909
MET,2017-11-03,53.181000,53.911200,False,53.025300,53.716500,reg,3555120
MET,2017-11-06,52.889000,53.054500,False,52.626200,52.937700,reg,2790045
MET,2017-11-07,51.983700,53.171300,False,51.681900,52.986400,reg,5984794
MET,2017-11-08,51.613700,51.983700,False,51.380100,51.983700,reg,4706474
MET,2017-11-09,51.409300,51.677000,False,50.971300,51.341200,reg,4589080
MET,2017-11-10,50.815500,51.312000,False,50.450400,51.156200,reg,4853118
MET,2017-11-13,50.776600,51.097800,False,50.289800,50.377400,reg,3263367
MET,2017-11-14,50.620800,50.805800,False,50.348200,50.620800,reg,2874340
MET,2017-11-15,50.465000,50.805800,False,49.647300,50.134100,reg,3486234
MET,2017-11-16,50.173000,50.811300,False,50.085400,50.718200,reg,3524091
MET,2017-11-17,50.280100,50.533700,False,49.803100,49.939400,reg,2659680
MET,2017-11-20,50.591600,50.611100,False,50.134100,50.367700,reg,3538719
MET,2017-11-21,50.338500,50.659700,False,50.270400,50.659700,reg,2696761
MET,2017-11-22,50.338500,50.596500,False,50.280100,50.338500,reg,2550153
MET,2017-11-24,50.455300,50.611100,False,50.348200,50.552700,reg,1303105
MET,2017-11-27,50.007500,50.591600,False,49.773900,50.455300,reg,3746226
MET,2017-11-28,51.253600,51.419100,False,50.134100,50.182700,reg,4918731
MET,2017-11-29,52.129700,52.762500,False,51.545600,51.594300,reg,6341666
MET,2017-11-30,52.256200,52.859800,False,51.973900,52.567800,reg,5533072
MET,2017-12-01,52.188100,52.548300,False,50.581900,52.538600,reg,4818963
MET,2017-12-04,52.197800,53.005800,False,52.178400,52.850100,reg,4118638
MET,2017-12-05,51.633200,52.441200,False,51.472600,52.363300,reg,4131275
MET,2017-12-06,51.594300,51.886300,False,51.292500,51.643000,reg,3500386
MET,2017-12-07,52.197800,52.450900,False,51.477500,51.487200,reg,3808895
MET,2017-12-08,52.334100,52.509300,False,52.003100,52.509300,reg,3690547
MET,2017-12-11,52.217300,52.752700,False,52.061500,52.460700,reg,3558093
MET,2017-12-12,52.246500,52.626200,False,51.947900,52.246500,reg,4704495
MET,2017-12-13,51.438500,52.183200,False,51.360600,52.081000,reg,4944368
MET,2017-12-14,51.097800,51.857100,False,50.971300,51.594300,reg,4281779
MET,2017-12-15,50.046500,50.562400,False,49.540200,50.143800,reg,15455509
MET,2017-12-18,49.579200,50.435800,False,49.316300,50.358000,reg,7867537
MET,2017-12-19,49.442900,50.192500,False,49.423400,49.900400,reg,5710381
MET,2017-12-20,49.657100,49.910200,False,49.442900,49.647300,reg,4923212
MET,2017-12-21,49.676500,50.211900,False,49.569400,49.968600,reg,5034248
MET,2017-12-22,49.413700,49.910200,False,49.170300,49.910200,reg,4236805
MET,2017-12-26,49.326100,49.764100,False,49.267700,49.472100,reg,3075648
