symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
PEG,2017-09-22,44.594100,45.018900,False,44.516800,44.989900,reg,4037711
PEG,2017-09-25,44.893400,45.081600,False,44.526500,44.864400,reg,3290721
PEG,2017-09-26,44.903000,45.009200,False,44.613400,44.845100,reg,2042016
PEG,2017-09-27,44.555400,44.796800,False,44.265800,44.565100,reg,3359776
PEG,2017-09-28,44.487900,44.758200,False,44.150000,44.391300,reg,2142025
PEG,2017-09-29,44.652000,45.154000,False,44.545800,44.594100,reg,3635645
PEG,2017-10-02,44.989900,45.047800,False,44.458900,44.835400,reg,2324293
PEG,2017-10-03,44.652000,44.932000,False,44.507200,44.932000,reg,2081840
PEG,2017-10-04,45.366400,45.376100,False,44.613400,44.681000,reg,1888547
PEG,2017-10-05,45.810500,45.820200,False,45.115400,45.308500,reg,4099842
PEG,2017-10-06,45.955300,46.003600,False,45.347100,45.559500,reg,4711416
PEG,2017-10-09,45.965000,46.061500,False,45.820200,45.984300,reg,2321602
PEG,2017-10-10,46.544300,46.631200,False,45.897400,46.003600,reg,3366112
PEG,2017-10-11,46.718100,46.727700,False,46.327000,46.413900,reg,3759512
PEG,2017-10-12,47.326300,47.335900,False,46.625000,46.698700,reg,3067307
PEG,2017-10-13,46.959400,47.625600,False,46.814600,47.461400,reg,5255777
PEG,2017-10-16,46.920800,47.065600,False,46.409100,46.814600,reg,2683698
PEG,2017-10-17,46.920800,47.027000,False,46.539400,46.862900,reg,3620374
PEG,2017-10-18,46.978700,47.089800,False,46.698700,46.814600,reg,2416263
PEG,2017-10-19,47.249000,47.268400,False,46.930500,47.056000,reg,2441664
PEG,2017-10-20,47.307000,47.326300,False,47.036700,47.249000,reg,4128142
PEG,2017-10-23,47.287700,47.413200,False,47.007700,47.413200,reg,2541680
PEG,2017-10-24,47.384200,47.422800,False,47.027000,47.249000,reg,2763194
PEG,2017-10-25,47.461400,47.567600,False,46.640800,47.162200,reg,3152361
PEG,2017-10-26,47.654500,47.741400,False,47.335900,47.731800,reg,2468320
PEG,2017-10-27,47.780000,47.924900,False,47.316600,47.529000,reg,2402904
PEG,2017-10-30,47.838000,47.886200,False,47.509700,47.751100,reg,3226510
PEG,2017-10-31,47.500100,47.981800,False,46.660100,46.978700,reg,3308532
PEG,2017-11-01,47.799400,48.455900,False,47.587000,48.214500,reg,4266173
PEG,2017-11-02,48.069700,48.185500,False,47.471100,47.876600,reg,2976395
PEG,2017-11-03,48.571700,48.808200,False,47.905600,47.973100,reg,2413072
PEG,2017-11-06,47.934500,48.668300,False,47.823500,48.552400,reg,3154244
PEG,2017-11-07,48.224200,48.320700,False,47.838000,48.040700,reg,2563058
PEG,2017-11-08,48.465500,48.542800,False,47.973100,48.118000,reg,2503570
PEG,2017-11-09,48.533100,48.750300,False,48.176800,48.320700,reg,1991876
PEG,2017-11-10,48.639300,48.793800,False,48.214500,48.214500,reg,3589997
PEG,2017-11-13,48.909600,49.266800,False,48.687600,48.774500,reg,3610967
PEG,2017-11-14,49.933000,49.942700,False,48.629600,48.880700,reg,3483407
PEG,2017-11-15,49.537200,50.319200,False,49.382700,50.029500,reg,3771315
PEG,2017-11-16,49.604700,49.614400,False,49.247500,49.508200,reg,2959298
PEG,2017-11-17,49.720600,49.759200,False,49.257200,49.315100,reg,5639742
PEG,2017-11-20,49.788200,49.846100,False,49.488900,49.749600,reg,3676793
PEG,2017-11-21,49.817100,49.990900,False,49.633700,49.865400,reg,2440549
PEG,2017-11-22,49.653000,49.793000,False,49.392200,49.749600,reg,2539721
PEG,2017-11-24,49.778500,50.000600,False,49.546800,49.662700,reg,1991326
PEG,2017-11-27,49.797800,49.952300,False,49.546800,49.807500,reg,3549152
PEG,2017-11-28,50.241900,50.241900,False,49.923300,49.923300,reg,2845054
PEG,2017-11-29,50.879100,50.966000,False,49.981300,50.068200,reg,3820187
PEG,2017-11-30,51.226700,51.361900,False,50.647400,50.840500,reg,4383547
PEG,2017-12-01,51.236400,51.439100,False,50.744000,51.265300,reg,3485784
PEG,2017-12-04,51.062600,51.352200,False,50.676400,51.352200,reg,5119972
PEG,2017-12-05,50.859800,51.217000,False,50.632900,51.139800,reg,4876357
PEG,2017-12-06,50.937100,51.081900,False,50.362600,50.956400,reg,4894982
PEG,2017-12-07,50.596400,50.927300,False,50.255800,50.927300,reg,4744120
PEG,2017-12-08,50.547700,50.606100,False,50.197300,50.576900,reg,4213461
PEG,2017-12-11,51.005200,51.034400,False,50.265400,50.450400,reg,4183058
PEG,2017-12-12,50.625600,51.141500,False,50.567200,50.625600,reg,4230492
PEG,2017-12-13,50.791100,51.053900,False,50.499000,50.635300,reg,3326062
PEG,2017-12-14,50.557400,50.771600,False,50.323800,50.742400,reg,4244483
PEG,2017-12-15,50.907900,51.014900,False,50.518500,50.752100,reg,5502561
PEG,2017-12-18,50.586600,51.219300,False,50.552600,50.995500,reg,2947460
PEG,2017-12-19,49.953900,50.722900,False,49.944200,50.722900,reg,3204263
PEG,2017-12-20,49.623000,50.148600,False,49.486700,49.953900,reg,3556750
PEG,2017-12-21,49.652200,50.002600,False,49.360200,49.554900,reg,2847194
PEG,2017-12-22,49.710600,50.065900,False,49.613300,49.700900,reg,2277551
PEG,2017-12-26,49.603500,50.138900,False,49.564600,49.846900,reg,1246600
PEG,2017-12-27,49.652200,49.856600,False,49.506200,49.798200,reg,2341350
PEG,2017-12-28,49.973400,49.997700,False,49.593800,49.778700,reg,1509430
PEG,2017-12-29,50.129200,50.304400,False,49.876100,49.973400,reg,2313230
PEG,2018-01-02,49.642500,50.450400,False,49.613300,50.129200,reg,2999520
PEG,2018-01-03,49.389400,50.031800,False,49.273600,49.447800,reg,2553693
PEG,2018-01-04,47.939000,48.240800,False,46.722300,46.722300,reg,8168742
PEG,2018-01-05,48.338100,48.454900,False,47.948800,48.094800,reg,5761954
PEG,2018-01-08,48.484100,48.581500,False,48.201900,48.396500,reg,3194233
PEG,2018-01-09,48.308900,48.610700,False,47.939000,48.503600,reg,5175971
PEG,2018-01-10,48.085100,48.231100,False,47.744400,48.085100,reg,3458064
PEG,2018-01-11,48.669100,48.952000,False,47.900100,48.143500,reg,4551974
PEG,2018-01-12,48.766400,48.873500,False,48.211600,48.557100,reg,2851745
PEG,2018-01-16,48.231100,49.043800,False,48.046100,48.873500,reg,3476303
PEG,2018-01-17,48.931900,49.073000,False,48.328400,48.386800,reg,2996300
PEG,2018-01-18,48.416000,49.087600,False,48.250500,49.058400,reg,2745522
PEG,2018-01-19,48.474400,48.824800,False,48.289500,48.591200,reg,2690085
PEG,2018-01-22,48.708000,49.087600,False,48.552300,48.854000,reg,3403716
PEG,2018-01-23,49.369900,49.739800,False,48.766400,48.854000,reg,2745512
PEG,2018-01-24,49.077900,49.301800,False,48.781000,49.243400,reg,2499230
PEG,2018-01-25,49.759300,49.773900,False,48.922200,49.029200,reg,2678431
PEG,2018-01-26,49.837100,49.973400,False,49.340700,49.846900,reg,2883250
