symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
PPG,2017-09-22,106.989400,107.402500,False,106.704100,107.186100,reg,1123327
PPG,2017-09-25,107.382900,108.366600,False,106.241700,106.468000,reg,1914062
PPG,2017-09-26,106.743400,107.953400,False,106.369600,107.609100,reg,2132748
PPG,2017-09-27,106.231900,107.156600,False,106.054800,106.871300,reg,1509115
PPG,2017-09-28,107.077900,107.156600,False,105.946600,106.163000,reg,1592573
PPG,2017-09-29,106.891000,107.776300,False,106.654900,106.969700,reg,1749282
PPG,2017-10-02,109.192900,109.350300,False,106.662300,106.891000,reg,1329388
PPG,2017-10-03,110.166800,110.589800,False,109.143700,109.783100,reg,1299914
PPG,2017-10-04,110.432400,111.052100,False,110.156900,110.265200,reg,1449924
PPG,2017-10-05,111.189900,111.327600,False,110.343900,110.639000,reg,1102927
PPG,2017-10-06,111.435800,112.291600,False,110.835700,111.042300,reg,1197958
PPG,2017-10-09,110.806200,111.229200,False,109.931700,111.229200,reg,1525050
PPG,2017-10-10,110.550400,110.899700,False,110.088100,110.806200,reg,1190333
PPG,2017-10-11,110.579900,110.752100,False,109.871700,110.225800,reg,801757
PPG,2017-10-12,111.553800,111.967000,False,110.343900,110.422500,reg,1368838
PPG,2017-10-13,111.652200,112.045700,False,111.357100,112.026000,reg,1004254
PPG,2017-10-16,111.327600,112.134200,False,110.865200,111.917800,reg,1321317
PPG,2017-10-17,111.121000,111.701400,False,110.924200,111.278400,reg,1581554
PPG,2017-10-18,111.042300,111.475100,False,110.275000,111.307900,reg,1797676
PPG,2017-10-19,112.449000,113.481900,False,108.307600,109.192900,reg,2019485
PPG,2017-10-20,115.842800,115.882200,False,112.921200,113.078600,reg,2265914
PPG,2017-10-23,114.987000,115.990400,False,114.829600,115.764100,reg,1977380
PPG,2017-10-24,115.528100,116.787200,False,115.370700,115.734600,reg,1415846
PPG,2017-10-25,115.803500,116.000200,False,114.819800,115.351000,reg,1457802
PPG,2017-10-26,116.738000,117.131500,False,116.147800,116.659300,reg,1021385
PPG,2017-10-27,116.010100,117.898800,False,115.351000,116.570800,reg,2031351
PPG,2017-10-30,114.268900,115.911700,False,114.023000,115.636300,reg,1238720
PPG,2017-10-31,114.347600,115.183800,False,114.141000,114.672200,reg,1156574
PPG,2017-11-01,114.032800,114.819800,False,113.609800,114.446000,reg,1140013
PPG,2017-11-02,114.268900,114.318100,False,113.639300,114.209900,reg,984577
PPG,2017-11-03,114.632900,114.957500,False,114.003300,114.288600,reg,781619
PPG,2017-11-06,114.446000,114.878800,False,114.416500,114.662400,reg,639602
PPG,2017-11-07,114.446000,115.055900,False,114.160700,114.652500,reg,639074
PPG,2017-11-08,114.229500,114.554200,False,113.659000,114.327900,reg,877080
PPG,2017-11-09,113.700100,114.292600,False,113.137200,113.621100,reg,926982
PPG,2017-11-10,113.245800,113.611200,False,112.959400,113.255700,reg,908556
PPG,2017-11-13,113.127300,113.453200,False,112.727300,112.840900,reg,1247762
PPG,2017-11-14,112.929800,113.147000,False,112.006400,112.080400,reg,974877
PPG,2017-11-15,111.981700,112.673000,False,111.843400,112.673000,reg,951966
PPG,2017-11-16,112.594000,112.771700,False,111.971800,112.376700,reg,1396206
PPG,2017-11-17,112.416200,113.038400,False,112.159400,112.584100,reg,1809722
PPG,2017-11-20,113.453200,114.470400,False,112.465600,112.663100,reg,1058455
PPG,2017-11-21,113.907500,114.411100,False,113.719800,114.174100,reg,794221
PPG,2017-11-22,113.838300,115.092600,False,113.818600,114.193900,reg,1502437
PPG,2017-11-24,114.658000,115.082700,False,114.218600,114.371600,reg,438775
PPG,2017-11-27,114.411100,114.929600,False,114.272900,114.509900,reg,1196328
PPG,2017-11-28,115.882600,115.961600,False,114.816000,114.816000,reg,1832379
PPG,2017-11-29,115.556700,116.272700,False,115.092600,116.020900,reg,1157004
PPG,2017-11-30,115.398700,117.028200,False,115.151800,115.645600,reg,2045070
PPG,2017-12-01,114.490100,116.129500,False,113.472900,115.853000,reg,1540781
PPG,2017-12-04,116.099900,117.443000,False,115.379000,116.435700,reg,1337199
PPG,2017-12-05,115.300000,116.178900,False,115.201200,115.912300,reg,1004510
PPG,2017-12-06,114.746900,115.724600,False,114.588900,115.369100,reg,893462
PPG,2017-12-07,114.667900,115.243200,False,114.450600,114.588900,reg,1128638
PPG,2017-12-08,114.480300,114.983900,False,114.282700,114.796300,reg,786147
PPG,2017-12-11,114.243200,115.013600,False,113.305000,114.618500,reg,948848
PPG,2017-12-12,114.450600,114.806200,False,113.907500,114.450600,reg,2037387
PPG,2017-12-13,114.806200,115.507300,False,114.579000,114.638300,reg,1292135
PPG,2017-12-14,112.406300,115.171600,False,111.853300,114.865400,reg,1834927
PPG,2017-12-15,113.660600,114.055600,False,112.890300,113.275400,reg,2537296
PPG,2017-12-18,114.687700,115.082700,False,113.927200,114.184000,reg,1205097
PPG,2017-12-19,114.865400,115.477700,False,114.559300,115.230800,reg,1182687
PPG,2017-12-20,114.717300,115.734500,False,114.667900,114.934500,reg,1030407
PPG,2017-12-21,114.737000,115.438200,False,114.598800,114.885200,reg,645172
PPG,2017-12-22,114.746900,115.077700,False,114.460500,114.974100,reg,574938
PPG,2017-12-26,114.835800,115.012600,False,114.638300,114.954300,reg,491308
PPG,2017-12-27,115.043200,115.181400,False,114.579000,115.013600,reg,548021
PPG,2017-12-28,115.714700,115.714700,False,114.786400,115.240700,reg,533215
PPG,2017-12-29,115.369100,116.218400,False,115.369100,115.882600,reg,867713
PPG,2018-01-02,116.534400,116.534400,False,115.359200,115.527100,reg,935225
PPG,2018-01-03,116.722100,117.334400,False,115.685100,116.534400,reg,929811
PPG,2018-01-04,116.011000,118.272600,False,115.862900,117.186200,reg,1226061
PPG,2018-01-05,117.443000,117.571400,False,116.030800,116.277700,reg,959574
PPG,2018-01-08,117.245500,117.704700,False,117.018300,117.522000,reg,1260148
PPG,2018-01-09,116.751700,117.694800,False,116.682600,117.571400,reg,1012770
PPG,2018-01-10,115.161700,116.860300,False,114.865400,116.504800,reg,1382306
PPG,2018-01-11,116.109800,116.396200,False,114.677800,115.240700,reg,1290302
PPG,2018-01-12,116.702300,117.122000,False,116.208500,116.544300,reg,1466325
PPG,2018-01-16,115.191300,117.512100,False,114.727200,117.087500,reg,2373757
PPG,2018-01-17,113.077900,115.586400,False,112.860600,115.151800,reg,3855085
PPG,2018-01-18,116.939300,120.553600,False,113.724800,114.312400,reg,3736596
PPG,2018-01-19,116.969000,117.650400,False,115.082700,116.583800,reg,2953303
PPG,2018-01-22,115.329600,117.186200,False,114.914800,116.791200,reg,1672586
