symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
PXD,2017-09-22,143.837400,143.967200,False,140.980800,141.040700,reg,1546226
PXD,2017-09-25,146.484200,146.993600,False,144.486600,144.486600,reg,3300925
PXD,2017-09-26,147.403100,148.062300,False,144.746300,145.655200,reg,1714432
PXD,2017-09-27,149.400700,149.440600,False,146.703900,148.102200,reg,2513988
PXD,2017-09-28,147.412500,150.529600,False,146.653300,149.410700,reg,1425153
PXD,2017-09-29,147.402600,147.922100,False,145.064700,146.833100,reg,1290743
PXD,2017-10-02,151.149100,151.179000,False,144.365400,145.554300,reg,2023739
PXD,2017-10-03,152.867500,154.021400,False,150.070100,150.859300,reg,2246702
PXD,2017-10-04,151.618600,153.147200,False,150.429700,152.367900,reg,1875915
PXD,2017-10-05,151.019200,152.747600,False,150.140600,151.958300,reg,1338116
PXD,2017-10-06,150.329800,150.589600,False,148.971100,149.750400,reg,1215606
PXD,2017-10-09,150.819400,151.298900,False,149.440700,150.529600,reg,946109
PXD,2017-10-10,150.529600,152.627700,False,150.130000,152.108200,reg,2014550
PXD,2017-10-11,148.871200,150.544600,False,147.782300,149.300800,reg,1681017
PXD,2017-10-12,146.103800,149.650500,False,145.814000,147.532400,reg,2473130
PXD,2017-10-13,143.785900,147.762100,False,143.616100,147.572400,reg,2272705
PXD,2017-10-16,143.556100,145.514300,False,142.741900,144.954800,reg,1906214
PXD,2017-10-17,145.214600,145.394400,False,142.227400,143.566100,reg,1525749
PXD,2017-10-18,144.954800,147.492500,False,144.705100,145.614200,reg,1363298
PXD,2017-10-19,142.846800,145.874000,False,142.397200,143.206500,reg,1365559
PXD,2017-10-20,144.615200,145.624200,False,142.826800,143.556100,reg,2176755
PXD,2017-10-23,143.795900,145.554300,False,143.726000,145.554300,reg,1901690
PXD,2017-10-24,143.086600,145.184600,False,142.577100,144.295500,reg,1402098
PXD,2017-10-25,142.027600,143.296400,False,140.179300,142.187400,reg,1469817
PXD,2017-10-26,142.177400,143.436300,False,141.219300,142.367200,reg,1421670
PXD,2017-10-27,145.244600,146.303600,False,140.519000,141.847700,reg,1259650
PXD,2017-10-30,146.123700,146.963000,False,145.074700,145.384400,reg,1598058
PXD,2017-10-31,149.530600,150.399800,False,146.373500,146.483400,reg,2810190
PXD,2017-11-01,153.826600,155.105400,False,150.529600,150.779400,reg,2662968
PXD,2017-11-02,147.662300,154.715700,False,143.995700,153.397000,reg,3416377
PXD,2017-11-03,150.150000,152.108200,False,147.132800,147.382600,reg,2152007
PXD,2017-11-06,158.652100,158.831900,False,150.859300,151.179000,reg,3066944
PXD,2017-11-07,161.519400,161.759200,False,157.218400,159.351400,reg,3331831
PXD,2017-11-08,159.421300,162.368600,False,158.752000,160.660200,reg,1955193
PXD,2017-11-09,160.989900,161.649300,False,158.202500,158.512200,reg,2136242
PXD,2017-11-10,158.781900,161.389500,False,158.092600,160.420400,reg,1394565
PXD,2017-11-13,156.773800,159.691100,False,156.229300,158.672000,reg,1266370
PXD,2017-11-14,152.667600,156.529000,False,152.248000,156.254300,reg,1859818
PXD,2017-11-15,151.368900,151.838400,False,147.962000,151.159100,reg,1660661
PXD,2017-11-16,150.899300,152.088200,False,149.690400,151.448800,reg,955500
PXD,2017-11-17,152.078200,153.147200,False,150.799400,151.288900,reg,952638
PXD,2017-11-20,151.368900,152.178000,False,150.469700,151.718500,reg,1030420
PXD,2017-11-21,152.088200,153.197200,False,151.239000,152.447800,reg,1043291
PXD,2017-11-22,153.936500,155.275200,False,152.577700,153.407000,reg,1044210
PXD,2017-11-24,153.956400,155.724800,False,153.956400,155.175300,reg,372901
PXD,2017-11-27,150.439700,153.456900,False,148.846200,153.456900,reg,1379609
PXD,2017-11-28,150.949200,151.468800,False,149.390700,150.629500,reg,899167
PXD,2017-11-29,151.019200,153.187200,False,149.370700,151.378800,reg,917412
PXD,2017-11-30,155.894600,156.673900,False,151.663600,152.537800,reg,1915693
PXD,2017-12-01,157.013600,160.060800,False,155.945600,157.093500,reg,1634998
PXD,2017-12-04,156.204300,158.602100,False,155.624900,156.374200,reg,1523866
PXD,2017-12-05,153.716700,157.043600,False,153.117200,156.224300,reg,1395848
PXD,2017-12-06,150.519600,153.766600,False,149.900200,153.257100,reg,1078440
PXD,2017-12-07,154.106300,154.366100,False,150.060100,154.106300,reg,1302464
PXD,2017-12-08,155.754800,156.633900,False,154.560900,155.255200,reg,1165525
PXD,2017-12-11,158.522200,159.661100,False,155.804700,155.804700,reg,1766084
PXD,2017-12-12,158.841900,159.850900,False,156.673900,158.841900,reg,1248006
PXD,2017-12-13,156.913700,159.541200,False,155.974600,158.941800,reg,947149
PXD,2017-12-14,156.434100,158.472200,False,156.394200,156.604000,reg,895453
PXD,2017-12-15,155.684800,157.842800,False,155.325200,157.533100,reg,1781532
PXD,2017-12-18,159.161600,160.260600,False,155.405100,156.144400,reg,1559469
PXD,2017-12-19,160.050800,160.850000,False,158.652100,160.130700,reg,1318122
PXD,2017-12-20,167.044200,167.174100,False,159.111600,160.850000,reg,1858461
PXD,2017-12-21,168.662700,169.292100,False,165.525700,167.044200,reg,1376468
PXD,2017-12-22,170.960600,173.558200,False,168.462900,169.212200,reg,1461725
PXD,2017-12-26,173.827900,174.427400,False,170.362100,171.590000,reg,1406461
PXD,2017-12-27,172.279400,174.077700,False,171.330200,173.957800,reg,927527
PXD,2017-12-28,172.419200,173.023700,False,171.010500,172.339300,reg,730538
PXD,2017-12-29,172.689000,173.947800,False,171.614000,173.298400,reg,1586980
PXD,2018-01-02,172.758900,175.286600,False,172.129500,174.137600,reg,1777752
PXD,2018-01-03,176.175700,178.029000,False,172.988700,174.197600,reg,3288559
PXD,2018-01-04,177.104900,177.744300,False,174.747100,176.695200,reg,1552416
PXD,2018-01-05,176.345600,176.715200,False,174.727100,176.225700,reg,1195147
PXD,2018-01-08,178.363700,179.113000,False,175.965900,175.965900,reg,1595688
PXD,2018-01-09,177.784200,179.682500,False,177.584400,178.713400,reg,1371797
PXD,2018-01-10,178.533500,180.192000,False,177.594400,178.293700,reg,1414835
PXD,2018-01-11,183.998400,187.365300,False,178.503600,179.412700,reg,2671796
PXD,2018-01-12,185.976600,187.005600,False,182.889500,183.848600,reg,1357078
PXD,2018-01-16,182.340000,186.616000,False,182.280000,186.326300,reg,1652845
PXD,2018-01-17,184.148300,185.457100,False,180.801400,182.449900,reg,1498850
