symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
RE,2017-09-22,221.215500,222.276300,False,219.201500,221.264400,reg,342167
RE,2017-09-25,218.947300,222.476800,False,218.565900,220.374700,reg,536956
RE,2017-09-26,215.359100,218.018400,False,212.210900,217.275400,reg,888657
RE,2017-09-27,216.151000,218.306900,False,216.043500,217.979300,reg,736006
RE,2017-09-28,217.910900,219.465400,False,214.875100,216.053200,reg,591891
RE,2017-09-29,223.298000,224.334400,False,217.725100,218.585500,reg,663780
RE,2017-10-02,224.168200,225.321900,False,219.504500,222.134600,reg,560014
RE,2017-10-03,224.207300,224.916100,False,222.369200,223.454500,reg,412343
RE,2017-10-04,222.623400,225.018800,False,222.476800,224.383300,reg,395993
RE,2017-10-05,221.694600,223.327400,False,220.971100,221.528400,reg,450318
RE,2017-10-06,219.993400,223.053600,False,219.661000,222.212800,reg,312060
RE,2017-10-09,220.980900,222.388800,False,219.005900,220.560500,reg,343745
RE,2017-10-10,219.758700,222.261700,False,219.700100,220.961300,reg,380292
RE,2017-10-11,217.549100,219.768500,False,216.092400,217.451400,reg,563982
RE,2017-10-12,221.753300,222.584300,False,218.116200,218.116200,reg,579496
RE,2017-10-13,235.147800,239.136900,False,222.916700,222.916700,reg,934028
RE,2017-10-16,232.811100,235.763800,False,232.483600,234.610100,reg,562413
RE,2017-10-17,231.129500,233.857300,False,229.918100,233.857300,reg,439778
RE,2017-10-18,229.760700,232.185400,False,228.890500,231.813900,reg,323872
RE,2017-10-19,231.960500,232.165800,False,228.983400,229.350000,reg,237937
RE,2017-10-20,231.393400,234.199500,False,230.479300,233.964800,reg,402268
RE,2017-10-23,230.591700,231.696500,False,229.472200,231.696500,reg,294192
RE,2017-10-24,229.056700,232.703600,False,228.157200,230.278900,reg,492016
RE,2017-10-25,227.746600,232.753800,False,226.592900,228.362600,reg,537030
RE,2017-10-26,229.711800,230.875300,False,226.724900,228.783000,reg,371487
RE,2017-10-27,231.667200,233.857300,False,226.969300,229.359800,reg,534319
RE,2017-10-30,233.788800,235.367800,False,230.542800,230.542800,reg,645823
RE,2017-10-31,232.156000,238.726200,False,231.012100,233.671500,reg,817826
RE,2017-11-01,229.555400,233.798600,False,229.555400,233.251100,reg,728677
RE,2017-11-02,222.369200,231.960500,False,221.719000,229.555400,reg,692898
RE,2017-11-03,222.760300,223.762500,False,219.045000,222.369200,reg,500660
RE,2017-11-06,223.366500,225.595600,False,222.525700,222.525700,reg,310569
RE,2017-11-07,221.968400,226.514700,False,221.557700,223.894400,reg,489816
RE,2017-11-08,223.268700,223.962900,False,220.110700,221.078700,reg,580861
RE,2017-11-09,225.644500,227.189300,False,221.660400,223.161200,reg,561575
RE,2017-11-10,225.986700,227.590200,False,222.936300,225.409900,reg,329198
RE,2017-11-13,223.454500,226.050300,False,223.043800,225.517400,reg,410480
RE,2017-11-14,221.088400,223.503400,False,220.668000,222.476800,reg,425423
RE,2017-11-15,224.158400,225.341400,False,218.551300,220.443100,reg,599282
RE,2017-11-16,220.443100,224.833000,False,219.631600,224.197500,reg,589262
RE,2017-11-17,221.274200,222.515900,False,219.692300,220.668000,reg,832924
RE,2017-11-20,218.849500,221.293700,False,218.253100,221.293700,reg,447044
RE,2017-11-21,217.294900,219.661000,False,217.001600,219.661000,reg,499354
RE,2017-11-22,214.352000,217.909800,False,214.185800,217.392700,reg,623028
RE,2017-11-24,212.817000,214.990000,False,212.455300,214.479100,reg,299247
RE,2017-11-27,218.096700,218.741900,False,213.051700,214.567100,reg,950503
RE,2017-11-28,221.283000,222.217200,False,217.595100,219.139100,reg,573983
RE,2017-11-29,219.050600,223.898900,False,217.073900,221.696000,reg,481315
RE,2017-11-30,215.962600,221.035800,False,214.172700,219.729200,reg,917215
RE,2017-12-01,214.448100,217.998300,False,211.468300,216.306800,reg,471912
RE,2017-12-04,210.022600,217.359100,False,209.835800,215.805200,reg,567631
RE,2017-12-05,208.636000,211.035600,False,208.124600,210.897900,reg,529109
RE,2017-12-06,207.564000,211.266700,False,207.505000,208.862200,reg,626476
RE,2017-12-07,206.875600,208.360600,False,206.531400,207.190300,reg,597760
RE,2017-12-08,208.763800,210.730700,False,205.351300,206.767500,reg,609772
RE,2017-12-11,213.867900,214.103900,False,206.993700,208.478600,reg,656039
RE,2017-12-12,216.178900,217.054200,False,214.128500,216.178900,reg,793791
RE,2017-12-13,213.327000,216.621500,False,212.717300,215.716700,reg,668096
RE,2017-12-14,214.094100,215.234800,False,211.065100,214.290800,reg,1334627
RE,2017-12-15,218.431000,220.515900,False,214.172700,214.851300,reg,906279
RE,2017-12-18,215.588900,218.814600,False,213.931800,218.214700,reg,453675
RE,2017-12-19,215.254500,216.419900,False,214.448100,215.992100,reg,455907
RE,2017-12-20,212.923800,217.132900,False,211.950200,215.510200,reg,402799
RE,2017-12-21,214.821800,216.149400,False,213.819500,213.936700,reg,335346
RE,2017-12-22,215.323400,215.647900,False,213.747400,214.389100,reg,173987
RE,2017-12-26,216.090400,217.758600,False,215.038200,215.038200,reg,161574
RE,2017-12-27,216.336300,217.580300,False,215.333200,215.972400,reg,187411
RE,2017-12-28,218.883400,219.139100,False,216.188800,216.660800,reg,226105
RE,2017-12-29,217.595100,219.075800,False,217.368900,219.001400,reg,304313
RE,2018-01-02,212.884400,218.952200,False,212.122300,218.952200,reg,563510
RE,2018-01-03,216.129800,216.675600,False,211.837100,213.887500,reg,478993
RE,2018-01-04,218.096700,219.566900,False,216.193700,217.064000,reg,431824
RE,2018-01-05,218.667000,219.030900,False,215.588700,219.030900,reg,391114
RE,2018-01-08,215.126700,218.558900,False,214.802100,217.959000,reg,551786
RE,2018-01-09,213.356500,217.024700,False,213.287600,214.330100,reg,436396
RE,2018-01-10,216.326500,217.427900,False,212.776400,212.992600,reg,394473
RE,2018-01-11,219.119400,220.447100,False,216.351100,216.700200,reg,365390
RE,2018-01-12,220.486400,220.633900,False,216.985400,219.227600,reg,277995
RE,2018-01-16,219.060400,222.354900,False,218.775200,221.853400,reg,370479
RE,2018-01-17,222.256600,222.472900,False,218.755600,220.191400,reg,265892
RE,2018-01-18,219.542300,223.338400,False,219.306300,221.804200,reg,312622
RE,2018-01-19,220.879800,221.814000,False,219.704600,220.122500,reg,259152
RE,2018-01-22,226.682000,231.923800,False,226.141200,226.190300,reg,476974
RE,2018-01-23,227.803200,227.950700,False,223.151500,226.269000,reg,446543
RE,2018-01-24,228.117900,229.819200,False,227.208200,228.157200,reg,321113
RE,2018-01-25,227.104900,228.653800,False,226.249300,228.098200,reg,288744
RE,2018-01-26,225.452800,227.272100,False,222.040200,227.272100,reg,294787
RE,2018-01-29,225.029900,225.954300,False,221.528800,225.423300,reg,253849
RE,2018-01-30,223.682600,226.632800,False,222.472900,224.498800,reg,291346
RE,2018-01-31,225.993600,226.760700,False,223.761200,224.125100,reg,419595
RE,2018-02-01,226.328000,227.822800,False,224.312000,224.980700,reg,296010
RE,2018-02-02,225.806800,228.776800,False,225.521600,225.521600,reg,346787
RE,2018-02-05,221.696000,227.950700,False,220.604400,224.528300,reg,493402
RE,2018-02-06,238.306300,238.975000,False,222.236900,222.236900,reg,942034
RE,2018-02-07,242.613700,246.527800,False,238.217800,238.296400,reg,669237
RE,2018-02-08,237.067100,243.321800,False,237.067100,241.925300,reg,514859
RE,2018-02-09,235.798500,239.378200,False,233.487400,239.378200,reg,511343
RE,2018-02-12,235.513300,240.184600,False,233.507100,237.568700,reg,472821
RE,2018-02-13,234.234800,235.188800,False,232.504000,235.188800,reg,388632
RE,2018-02-14,238.571800,239.230700,False,233.497300,233.585800,reg,280330
RE,2018-02-15,238.375100,240.597700,False,236.083700,239.476600,reg,368559
RE,2018-02-16,239.230700,240.155100,False,236.378700,237.745700,reg,283334
RE,2018-02-20,239.230700,240.941900,False,236.634400,239.142200,reg,373446
RE,2018-02-21,235.965700,240.941900,False,235.808300,239.132400,reg,375596
RE,2018-02-22,235.434600,239.427300,False,235.331400,236.870400,reg,382345
RE,2018-02-23,238.916000,239.102800,False,232.602300,235.710000,reg,257074
RE,2018-02-26,237.627700,239.624100,False,236.152500,239.624100,reg,336001
RE,2018-02-27,239.152000,240.887800,False,236.850800,238.247300,reg,367295
RE,2018-02-28,236.260700,240.961500,False,236.260700,240.420700,reg,286065
RE,2018-03-01,234.431500,238.925800,False,234.057800,237.273700,reg,315380
RE,2018-03-02,235.041300,235.306800,False,233.064500,233.408800,reg,226260
RE,2018-03-05,250.137000,251.110600,False,239.034000,240.941900,reg,507208
RE,2018-03-06,251.768000,252.529100,False,246.464800,249.712000,reg,423129
RE,2018-03-07,252.628000,253.191400,False,249.059600,249.731700,reg,350524
RE,2018-03-08,254.348000,254.713700,False,250.789400,252.450100,reg,322574
RE,2018-03-09,259.596800,260.402500,False,253.216100,255.563800,reg,400192
RE,2018-03-12,258.381000,260.318400,False,257.362900,259.221200,reg,263600
RE,2018-03-13,258.756600,259.438700,False,257.036700,259.438700,reg,184997
RE,2018-03-14,257.372700,260.219600,False,256.315100,259.329900,reg,279448
RE,2018-03-15,256.384200,258.944400,False,255.682400,258.420500,reg,283138
RE,2018-03-16,258.390900,260.595200,False,256.384200,256.384200,reg,559810
RE,2018-03-19,259.646300,260.308500,False,257.382600,258.173400,reg,219287
RE,2018-03-20,257.264000,260.101000,False,257.125600,260.101000,reg,211221
RE,2018-03-21,256.601700,261.830800,False,253.685700,256.463300,reg,151795
RE,2018-03-22,250.374200,255.949300,False,250.255600,254.891600,reg,275275
RE,2018-03-23,245.767900,253.092600,False,245.767900,251.333100,reg,352662
RE,2018-03-26,249.543900,249.692200,False,245.906300,248.397300,reg,228315
RE,2018-03-27,247.814100,252.351200,False,246.825600,250.631200,reg,220541
RE,2018-03-28,255.356200,256.211300,False,248.456600,248.525800,reg,361375
RE,2018-03-29,253.863600,256.661000,False,253.754900,256.661000,reg,329960
RE,2018-04-02,251.491200,256.483100,False,248.763000,254.802700,reg,293216
RE,2018-04-03,254.081100,256.305200,False,252.351200,253.122200,reg,267005
RE,2018-04-04,255.296900,255.623100,False,250.591700,251.847100,reg,282378
RE,2018-04-05,253.438600,256.967500,False,253.221100,256.967500,reg,240368
RE,2018-04-06,251.323200,253.952600,False,249.286900,251.926200,reg,249335
RE,2018-04-09,254.871900,258.875200,False,250.691500,252.717000,reg,316489
RE,2018-04-10,253.250700,257.896600,False,252.390800,256.927900,reg,286807
RE,2018-04-11,257.007000,257.817600,False,251.995400,252.766400,reg,259958
RE,2018-04-12,247.764600,258.242600,False,246.040000,257.007000,reg,517097
RE,2018-04-13,246.321400,248.792600,False,245.135300,248.011800,reg,219760
RE,2018-04-16,248.031500,249.687200,False,246.104000,247.497700,reg,280483
RE,2018-04-17,244.581700,250.028300,False,242.792500,249.702100,reg,396674
RE,2018-04-18,241.062700,246.331300,False,240.459700,245.323100,reg,407204
RE,2018-04-19,239.560200,241.447200,False,239.016500,240.548700,reg,436313
RE,2018-04-20,244.146800,244.285200,False,239.955600,240.489400,reg,458526
RE,2018-04-23,242.535500,245.807400,False,241.853500,244.146800,reg,175149
RE,2018-04-24,241.833700,244.482800,False,240.005000,242.525600,reg,236176
RE,2018-04-25,237.672200,241.576700,False,236.713300,241.260400,reg,376907
RE,2018-04-26,229.240400,234.894500,False,226.976700,234.894500,reg,743269
RE,2018-04-27,233.995000,235.467800,False,229.378700,230.298000,reg,363594
RE,2018-04-30,229.991600,234.528800,False,229.971800,233.698400,reg,243531
RE,2018-05-01,230.219000,230.426500,False,227.896000,229.724700,reg,220285
RE,2018-05-02,225.543400,230.866400,False,224.693300,229.922400,reg,375627
RE,2018-05-03,223.546700,226.230400,False,220.101800,225.444600,reg,553737
RE,2018-05-04,224.900900,226.462700,False,220.442800,220.442800,reg,209982
RE,2018-05-07,223.932200,225.671900,False,222.963500,225.266600,reg,199767
RE,2018-05-08,224.554900,225.345700,False,221.332400,223.546700,reg,390897
RE,2018-05-09,225.325900,225.840000,False,223.062300,224.564800,reg,240294
RE,2018-05-10,225.563200,227.115100,False,224.946400,225.751000,reg,227329
RE,2018-05-11,225.662000,226.512100,False,224.495600,225.286400,reg,164461
RE,2018-05-14,224.297900,225.721300,False,223.833300,225.662000,reg,308911
RE,2018-05-15,225.395100,225.494000,False,223.171000,223.892600,reg,315818
RE,2018-05-16,226.433000,226.660400,False,224.564800,225.414900,reg,223619
RE,2018-05-17,225.177700,226.477500,False,223.151300,226.344100,reg,234170
RE,2018-05-18,223.932200,226.858100,False,223.714700,224.713100,reg,312455
RE,2018-05-21,226.284800,227.451200,False,224.891000,225.167800,reg,263657
RE,2018-05-22,226.403400,227.737900,False,225.800400,226.057400,reg,199033
RE,2018-05-23,223.932200,226.433000,False,223.210600,226.166200,reg,224751
RE,2018-05-24,223.922300,224.624100,False,222.493900,224.218800,reg,315114
RE,2018-05-25,224.821800,225.563200,False,222.914000,223.408300,reg,178935
RE,2018-05-29,223.410100,224.399200,False,221.729900,223.807800,reg,446866
RE,2018-05-30,224.195500,224.941100,False,223.270900,224.215400,reg,222445
RE,2018-05-31,223.976800,224.632900,False,221.650400,223.797800,reg,487651
RE,2018-06-01,224.603100,226.293200,False,223.877400,226.293200,reg,179240
RE,2018-06-04,225.358700,226.181000,False,224.185500,224.632900,reg,122316
RE,2018-06-05,225.199600,225.428300,False,223.688500,225.040500,reg,166620
RE,2018-06-06,226.770400,226.840000,False,223.678500,225.537600,reg,182694
RE,2018-06-07,228.738800,228.977400,False,225.915400,227.396700,reg,145492
RE,2018-06-08,228.977400,229.673400,False,227.078600,228.858100,reg,188662
RE,2018-06-11,227.148200,230.518400,False,226.571600,229.275700,reg,145537
RE,2018-06-12,225.965100,227.526000,False,224.896400,226.770400,reg,207945
RE,2018-06-13,226.014800,228.500200,False,225.289100,226.889700,reg,147672
RE,2018-06-14,224.682600,226.750500,False,223.956900,226.004900,reg,225924
RE,2018-06-15,225.279100,226.770400,False,223.231100,224.473900,reg,525103
RE,2018-06-18,225.428300,226.954300,False,223.892300,225.716600,reg,232679
RE,2018-06-19,227.893800,228.510200,False,224.851600,224.851600,reg,220283
RE,2018-06-20,228.788600,229.713100,False,227.332100,227.963400,reg,273148
RE,2018-06-21,227.337100,229.479500,False,225.776200,228.599700,reg,213998
RE,2018-06-22,228.659300,228.937700,False,226.482100,228.351100,reg,499287
RE,2018-06-25,231.313700,232.119000,False,228.420700,228.629500,reg,208386
RE,2018-06-26,228.559900,231.880400,False,227.824200,230.926000,reg,295166
RE,2018-06-27,227.386800,230.110800,False,225.448100,228.172200,reg,465353
RE,2018-06-28,230.130700,231.005600,False,227.058700,227.655200,reg,242636
RE,2018-06-29,229.136500,231.214300,False,227.923600,229.961700,reg,282202
RE,2018-07-02,225.835900,230.130700,False,224.980900,229.414900,reg,297730
RE,2018-07-03,225.070400,228.122500,False,224.116000,226.521800,reg,165022
RE,2018-07-05,229.295600,229.434700,False,225.994900,226.263400,reg,229128
RE,2018-07-06,229.116600,231.308800,False,228.047900,229.136500,reg,171478
RE,2018-07-09,233.640100,234.375800,False,229.852300,229.971600,reg,170458
RE,2018-07-10,232.854700,234.306200,False,231.552400,234.306200,reg,206213
RE,2018-07-11,232.387500,233.660000,False,231.477800,232.208500,reg,149463
RE,2018-07-12,231.492700,234.276400,False,230.528400,233.640100,reg,128840
RE,2018-07-13,230.200300,231.761100,False,229.404900,231.761100,reg,158271
RE,2018-07-16,233.809100,234.057700,False,230.051200,230.886300,reg,251493
RE,2018-07-17,233.739500,234.365900,False,232.124000,234.365900,reg,172073
RE,2018-07-18,234.942500,235.698000,False,232.914400,234.107400,reg,243228
RE,2018-07-19,232.934200,234.892800,False,232.318900,234.515000,reg,171688
RE,2018-07-20,223.509500,224.185500,False,218.613200,224.185500,reg,647630
RE,2018-07-23,223.946900,224.732300,False,220.251100,221.610600,reg,392938
