symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
SCG,2017-09-22,53.327400,55.220200,False,53.259800,55.220200,reg,1832683
SCG,2017-09-25,54.389700,54.442800,False,53.114900,53.221200,reg,1839939
SCG,2017-09-26,53.665400,54.331800,False,52.535500,54.322100,reg,2161599
SCG,2017-09-27,49.464500,53.358800,False,49.295500,53.172900,reg,3959554
SCG,2017-09-28,49.242400,49.416200,False,47.677900,49.165100,reg,4378282
SCG,2017-09-29,46.828100,48.508400,False,46.663900,48.508400,reg,4065666
SCG,2017-10-02,46.915000,47.548300,False,46.586600,46.799100,reg,3299379
SCG,2017-10-03,46.886000,47.195000,False,46.316200,47.195000,reg,2244452
SCG,2017-10-04,46.760500,46.808700,False,46.161700,46.634900,reg,2326698
SCG,2017-10-05,46.770100,46.789400,False,46.205200,46.760500,reg,1894564
SCG,2017-10-06,46.702500,46.750800,False,46.181000,46.461100,reg,2627031
SCG,2017-10-09,47.127400,47.484800,False,46.692900,46.895700,reg,1632539
SCG,2017-10-10,47.426800,47.755200,False,47.011600,47.175700,reg,1293683
SCG,2017-10-11,47.880700,48.189700,False,47.465400,47.948300,reg,1340554
SCG,2017-10-12,47.900000,48.160800,False,47.610300,47.842100,reg,1468649
SCG,2017-10-13,48.141500,48.498800,False,47.813100,47.996600,reg,2038223
SCG,2017-10-16,47.484800,48.267000,False,47.378500,48.122100,reg,1289283
SCG,2017-10-17,47.446100,47.504100,False,46.412800,46.934300,reg,1700723
SCG,2017-10-18,47.446100,47.620000,False,47.156400,47.436500,reg,921337
SCG,2017-10-19,46.982600,47.929000,False,46.480400,47.407500,reg,2323857
SCG,2017-10-20,47.359200,47.388200,False,46.741100,47.040500,reg,1656049
SCG,2017-10-23,46.692900,47.484800,False,46.383800,47.330200,reg,1569513
SCG,2017-10-24,46.634900,46.721800,False,46.123100,46.673500,reg,1557050
SCG,2017-10-25,45.939600,46.441800,False,44.809700,46.441800,reg,2558478
SCG,2017-10-26,46.190700,46.499700,False,45.389100,45.640200,reg,1995340
SCG,2017-10-27,44.906300,46.055500,False,43.805300,45.852700,reg,2793393
SCG,2017-10-30,44.336500,45.292600,False,44.085400,44.809700,reg,2367106
SCG,2017-10-31,41.661400,44.655200,False,41.284800,44.355800,reg,4057930
SCG,2017-11-01,41.168900,42.134600,False,41.111000,41.738700,reg,2373094
SCG,2017-11-02,40.570200,41.265500,False,39.739600,41.139900,reg,3120910
SCG,2017-11-03,40.241800,41.139900,False,40.232200,40.560500,reg,2703034
SCG,2017-11-06,42.395400,42.733400,False,40.290100,40.396300,reg,3786663
SCG,2017-11-07,43.003800,43.708800,False,42.182900,42.511300,reg,2824792
SCG,2017-11-08,41.748300,43.322500,False,41.603500,42.926500,reg,2412712
SCG,2017-11-09,43.071400,43.921200,False,41.564900,41.613100,reg,2367512
SCG,2017-11-10,42.434000,43.061700,False,42.173300,42.878200,reg,2392739
SCG,2017-11-13,43.071400,43.119700,False,41.960800,42.453300,reg,2035163
SCG,2017-11-14,42.974800,43.052100,False,42.540200,42.887900,reg,2339290
SCG,2017-11-15,42.868600,43.457700,False,42.858900,43.148600,reg,1809474
SCG,2017-11-16,43.457700,45.282900,False,42.878200,43.679800,reg,5329800
SCG,2017-11-17,41.960800,43.563900,False,41.864200,43.332100,reg,3149974
SCG,2017-11-20,41.207500,41.912500,False,41.014400,41.815900,reg,2183224
SCG,2017-11-21,41.912500,42.047700,False,41.188200,41.197900,reg,1661764
SCG,2017-11-22,41.999400,42.279500,False,41.480400,41.970500,reg,1239825
SCG,2017-11-24,40.425300,42.163600,False,40.290100,42.038100,reg,1335475
SCG,2017-11-27,41.159300,41.207500,False,40.106600,40.550800,reg,1990801
SCG,2017-11-28,42.028400,42.398500,False,41.371700,41.371700,reg,2698307
SCG,2017-11-29,42.240900,42.984500,False,41.777300,41.815900,reg,2250119
SCG,2017-11-30,41.690400,42.984500,False,41.526200,42.414700,reg,3216377
SCG,2017-12-01,42.743000,43.168000,False,41.759500,41.854600,reg,2320098
SCG,2017-12-04,42.810600,42.955500,False,42.192600,42.926500,reg,1925541
SCG,2017-12-05,42.009100,42.936200,False,40.908200,42.791300,reg,2111069
SCG,2017-12-06,42.279500,42.405000,False,41.439300,42.125000,reg,2469281
SCG,2017-12-07,42.830000,42.839600,False,42.018700,42.076700,reg,1786884
SCG,2017-12-08,44.210900,44.210900,False,42.685100,42.791300,reg,2443156
SCG,2017-12-11,41.482500,44.037200,False,40.963700,43.978500,reg,3575232
SCG,2017-12-12,41.883800,42.901800,False,41.404200,41.883800,reg,2982652
SCG,2017-12-13,41.629300,41.976800,False,41.188800,41.844600,reg,2676913
SCG,2017-12-14,41.874000,42.940900,False,41.257300,41.639100,reg,1933665
SCG,2017-12-15,43.479300,44.536400,False,42.197000,42.197000,reg,8213926
SCG,2017-12-18,42.069800,43.508600,False,41.551000,43.479300,reg,3256178
SCG,2017-12-19,41.012600,42.549400,False,40.924500,42.157900,reg,1984770
SCG,2017-12-20,40.444900,41.139900,False,39.935900,41.012600,reg,2107785
SCG,2017-12-21,36.598200,40.523200,False,36.578600,40.327500,reg,5863335
SCG,2017-12-22,38.183800,38.428600,False,36.309400,36.559000,reg,3379877
SCG,2017-12-26,38.262200,39.446500,False,38.164300,38.340500,reg,1740774
SCG,2017-12-27,38.643900,39.103900,False,38.428600,38.428600,reg,1315758
SCG,2017-12-28,38.878800,38.971800,False,38.306200,38.771100,reg,1309209
SCG,2017-12-29,38.937500,39.152900,False,38.643900,38.927800,reg,1137534
SCG,2018-01-02,38.046800,39.133300,False,37.263800,39.084400,reg,2932313
SCG,2018-01-03,46.640900,48.353300,False,46.122100,46.738800,reg,19006353
SCG,2018-01-04,45.348800,47.238000,False,45.035600,46.640900,reg,9295314
SCG,2018-01-05,44.066600,45.456500,False,43.567400,45.339000,reg,5796481
