symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
VMW,2017-09-22,109.150000,109.480000,False,108.500000,108.910000,reg,1021549
VMW,2017-09-25,107.520000,109.640000,False,107.120000,109.210000,reg,1892185
VMW,2017-09-26,107.830000,108.720000,False,107.680000,108.000000,reg,2362235
VMW,2017-09-27,109.210000,110.230000,False,108.660000,109.610000,reg,2378584
VMW,2017-09-28,109.200000,109.410000,False,108.190000,109.260000,reg,1192439
VMW,2017-09-29,109.190000,110.150000,False,109.050000,109.080000,reg,1469055
VMW,2017-10-02,110.150000,110.990000,False,109.200000,109.240000,reg,1433066
VMW,2017-10-03,110.600000,111.269000,False,110.200000,110.580000,reg,1427437
VMW,2017-10-04,110.590000,111.000000,False,109.720000,110.600000,reg,1612953
VMW,2017-10-05,111.590000,111.890000,False,110.760000,111.310000,reg,1399450
VMW,2017-10-06,111.530000,111.740000,False,110.860000,111.390000,reg,1250100
VMW,2017-10-09,111.850000,112.240000,False,111.575000,111.590000,reg,677838
VMW,2017-10-10,111.790000,112.500000,False,111.230000,112.040000,reg,1308227
VMW,2017-10-11,112.030000,112.245000,False,110.900000,111.650000,reg,1253174
VMW,2017-10-12,113.160000,113.600000,False,112.000000,112.160000,reg,1525133
VMW,2017-10-13,113.620000,114.180000,False,113.512100,113.550000,reg,1480819
VMW,2017-10-16,115.150000,115.370000,False,113.980000,114.000000,reg,3272295
VMW,2017-10-17,115.600000,115.850000,False,115.000000,115.130000,reg,1844121
VMW,2017-10-18,116.600000,116.720000,False,115.730000,115.730000,reg,3084764
VMW,2017-10-19,117.400000,117.400000,False,116.040000,116.160000,reg,1565445
VMW,2017-10-20,118.340000,118.730000,False,117.570000,117.570000,reg,1560096
VMW,2017-10-23,119.110000,119.550000,False,118.500000,118.740000,reg,1596365
VMW,2017-10-24,119.630000,119.630000,False,118.430000,118.970000,reg,1884343
VMW,2017-10-25,118.900000,119.760000,False,118.159000,119.650000,reg,2395369
VMW,2017-10-26,119.010000,119.480000,False,118.380000,119.200000,reg,1088400
VMW,2017-10-27,120.970000,121.090000,False,119.045000,119.570000,reg,1614145
VMW,2017-10-30,119.930000,120.750000,False,119.320000,120.750000,reg,1090508
VMW,2017-10-31,119.690000,120.060000,False,119.080000,119.930000,reg,1631876
VMW,2017-11-01,119.120000,120.310000,False,118.660000,120.000000,reg,1565452
VMW,2017-11-02,118.900000,119.400000,False,117.680000,118.590000,reg,4030258
VMW,2017-11-03,117.940000,118.940000,False,117.130000,118.700000,reg,1348900
VMW,2017-11-06,119.210000,119.910000,False,117.940000,117.990000,reg,1924336
VMW,2017-11-07,120.430000,121.140000,False,119.710000,119.740000,reg,1569617
VMW,2017-11-08,120.550000,121.490000,False,119.750000,119.910000,reg,1460861
VMW,2017-11-09,120.970000,121.210000,False,119.470100,119.750000,reg,1404493
